round,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0.75852,0.66959,0.54762,0.5327,0.75852,0.75852,0.75852
2,0.80586,0.76643,0.66012,0.68357,0.80586,0.80586,0.80586
3,0.81599,0.77483,0.68834,0.71262,0.81599,0.81599,0.81599
4,0.82004,0.77747,0.70067,0.72423,0.82004,0.82004,0.82004
5,0.82207,0.77813,0.70794,0.73063,0.82207,0.82207,0.82207
6,0.82391,0.77912,0.71411,0.73598,0.82391,0.82391,0.82391
7,0.82575,0.78087,0.71904,0.7404,0.82575,0.82575,0.82575
8,0.82649,0.78228,0.71978,0.74133,0.82649,0.82649,0.82649
9,0.82907,0.78581,0.7247,0.74613,0.82907,0.82907,0.82907
10,0.8287,0.7849,0.7247,0.7459,0.8287,0.8287,0.8287
11,0.83036,0.78664,0.72877,0.74953,0.83036,0.83036,0.83036
12,0.83238,0.78967,0.7321,0.7529,0.83238,0.83238,0.83238
13,0.83312,0.79061,0.73357,0.75429,0.83312,0.83312,0.83312
14,0.83404,0.79193,0.73518,0.75587,0.83404,0.83404,0.83404
15,0.83514,0.79391,0.7364,0.75735,0.83514,0.83514,0.83514
16,0.83551,0.79482,0.7364,0.75759,0.83551,0.83551,0.83551
17,0.83551,0.79497,0.73616,0.75745,0.83551,0.83551,0.83551
18,0.8357,0.79505,0.73677,0.75794,0.8357,0.8357,0.8357
19,0.83588,0.79528,0.73714,0.75829,0.83588,0.83588,0.83588
20,0.83607,0.79566,0.73727,0.75848,0.83607,0.83607,0.83607
21,0.83551,0.79452,0.7369,0.75789,0.83551,0.83551,0.83551
22,0.83607,0.79536,0.73776,0.75878,0.83607,0.83607,0.83607
23,0.83662,0.79591,0.73911,0.75996,0.83662,0.83662,0.83662
24,0.83643,0.79568,0.73874,0.75962,0.83643,0.83643,0.83643
25,0.83662,0.79606,0.73887,0.75981,0.83662,0.83662,0.83662
26,0.83717,0.79705,0.73948,0.76055,0.83717,0.83717,0.83717
27,0.83772,0.79804,0.7401,0.76129,0.83772,0.83772,0.83772
28,0.83809,0.7985,0.74084,0.76198,0.83809,0.83809,0.83809
29,0.83901,0.8001,0.74194,0.76326,0.83901,0.83901,0.83901
30,0.83864,0.79949,0.74145,0.76272,0.83864,0.83864,0.83864
