round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.75815,0.66818,0.54663,0.53106,0.75815,0.75815,0.75815
1,1,0.75833,0.66916,0.54675,0.53118,0.75833,0.75833,0.75833
1,2,0.75833,0.66916,0.54675,0.53118,0.75833,0.75833,0.75833
1,3,0.75815,0.66818,0.54663,0.53106,0.75815,0.75815,0.75815
1,4,0.75815,0.66818,0.54663,0.53106,0.75815,0.75815,0.75815
1,5,0.75833,0.66916,0.54675,0.53118,0.75833,0.75833,0.75833
1,6,0.75833,0.66916,0.54675,0.53118,0.75833,0.75833,0.75833
1,7,0.75833,0.66916,0.54675,0.53118,0.75833,0.75833,0.75833
1,8,0.75833,0.66916,0.54675,0.53118,0.75833,0.75833,0.75833
1,9,0.75833,0.66916,0.54675,0.53118,0.75833,0.75833,0.75833
2,0,0.80604,0.76672,0.66049,0.68399,0.80604,0.80604,0.80604
2,1,0.80623,0.76701,0.66086,0.6844,0.80623,0.80623,0.80623
2,2,0.80586,0.76643,0.66012,0.68357,0.80586,0.80586,0.80586
2,3,0.80604,0.76672,0.66049,0.68399,0.80604,0.80604,0.80604
2,4,0.80586,0.76643,0.66012,0.68357,0.80586,0.80586,0.80586
2,5,0.80623,0.76701,0.66086,0.6844,0.80623,0.80623,0.80623
2,6,0.80623,0.76701,0.66086,0.6844,0.80623,0.80623,0.80623
2,7,0.80604,0.76672,0.66049,0.68399,0.80604,0.80604,0.80604
2,8,0.80623,0.76701,0.66086,0.6844,0.80623,0.80623,0.80623
2,9,0.80623,0.76701,0.66086,0.6844,0.80623,0.80623,0.80623
3,0,0.8158,0.77419,0.68847,0.71263,0.8158,0.8158,0.8158
3,1,0.81562,0.77392,0.6881,0.71224,0.81562,0.81562,0.81562
3,2,0.81562,0.77392,0.6881,0.71224,0.81562,0.81562,0.81562
3,3,0.8158,0.77419,0.68847,0.71263,0.8158,0.8158,0.8158
3,4,0.8158,0.77419,0.68847,0.71263,0.8158,0.8158,0.8158
3,5,0.8158,0.77419,0.68847,0.71263,0.8158,0.8158,0.8158
3,6,0.8158,0.77419,0.68847,0.71263,0.8158,0.8158,0.8158
3,7,0.8158,0.77419,0.68847,0.71263,0.8158,0.8158,0.8158
3,8,0.8158,0.77419,0.68847,0.71263,0.8158,0.8158,0.8158
3,9,0.8158,0.77419,0.68847,0.71263,0.8158,0.8158,0.8158
4,0,0.82004,0.77764,0.70042,0.72405,0.82004,0.82004,0.82004
4,1,0.81986,0.77721,0.7003,0.72386,0.81986,0.81986,0.81986
4,2,0.81986,0.77721,0.7003,0.72386,0.81986,0.81986,0.81986
4,3,0.81986,0.77721,0.7003,0.72386,0.81986,0.81986,0.81986
4,4,0.81986,0.77721,0.7003,0.72386,0.81986,0.81986,0.81986
4,5,0.81986,0.77721,0.7003,0.72386,0.81986,0.81986,0.81986
4,6,0.81986,0.77721,0.7003,0.72386,0.81986,0.81986,0.81986
4,7,0.81986,0.77721,0.7003,0.72386,0.81986,0.81986,0.81986
4,8,0.81986,0.77721,0.7003,0.72386,0.81986,0.81986,0.81986
4,9,0.81986,0.77721,0.7003,0.72386,0.81986,0.81986,0.81986
5,0,0.82225,0.77854,0.70807,0.73083,0.82225,0.82225,0.82225
5,1,0.82225,0.77854,0.70807,0.73083,0.82225,0.82225,0.82225
5,2,0.82225,0.77854,0.70807,0.73083,0.82225,0.82225,0.82225
5,3,0.82225,0.77854,0.70807,0.73083,0.82225,0.82225,0.82225
5,4,0.82225,0.77854,0.70807,0.73083,0.82225,0.82225,0.82225
5,5,0.82225,0.77854,0.70807,0.73083,0.82225,0.82225,0.82225
5,6,0.82225,0.77854,0.70807,0.73083,0.82225,0.82225,0.82225
5,7,0.82225,0.77854,0.70807,0.73083,0.82225,0.82225,0.82225
5,8,0.82225,0.77854,0.70807,0.73083,0.82225,0.82225,0.82225
5,9,0.82225,0.77854,0.70807,0.73083,0.82225,0.82225,0.82225
6,0,0.82372,0.77888,0.71374,0.73562,0.82372,0.82372,0.82372
6,1,0.82372,0.77888,0.71374,0.73562,0.82372,0.82372,0.82372
6,2,0.82372,0.77888,0.71374,0.73562,0.82372,0.82372,0.82372
6,3,0.82354,0.77863,0.71337,0.73526,0.82354,0.82354,0.82354
6,4,0.82354,0.77848,0.71362,0.73543,0.82354,0.82354,0.82354
6,5,0.82372,0.77888,0.71374,0.73562,0.82372,0.82372,0.82372
6,6,0.82372,0.77888,0.71374,0.73562,0.82372,0.82372,0.82372
6,7,0.82372,0.77888,0.71374,0.73562,0.82372,0.82372,0.82372
6,8,0.82372,0.77888,0.71374,0.73562,0.82372,0.82372,0.82372
6,9,0.82372,0.77888,0.71374,0.73562,0.82372,0.82372,0.82372
7,0,0.82575,0.78101,0.71879,0.74023,0.82575,0.82575,0.82575
7,1,0.82575,0.78101,0.71879,0.74023,0.82575,0.82575,0.82575
7,2,0.82593,0.7814,0.71891,0.74042,0.82593,0.82593,0.82593
7,3,0.82575,0.78101,0.71879,0.74023,0.82575,0.82575,0.82575
7,4,0.82593,0.7814,0.71891,0.74042,0.82593,0.82593,0.82593
7,5,0.82575,0.78101,0.71879,0.74023,0.82575,0.82575,0.82575
7,6,0.82593,0.7814,0.71891,0.74042,0.82593,0.82593,0.82593
7,7,0.82593,0.7814,0.71891,0.74042,0.82593,0.82593,0.82593
7,8,0.82575,0.78101,0.71879,0.74023,0.82575,0.82575,0.82575
7,9,0.82575,0.78101,0.71879,0.74023,0.82575,0.82575,0.82575
8,0,0.82686,0.78277,0.72052,0.74204,0.82686,0.82686,0.82686
8,1,0.82704,0.78315,0.72064,0.74223,0.82704,0.82704,0.82704
8,2,0.82704,0.78315,0.72064,0.74223,0.82704,0.82704,0.82704
8,3,0.82704,0.78315,0.72064,0.74223,0.82704,0.82704,0.82704
8,4,0.82667,0.78267,0.7199,0.74152,0.82667,0.82667,0.82667
