round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.0892,0.00892,0.1,0.01638,0.0892,0.0892,0.0892
1,1,0.1135,0.01135,0.1,0.02039,0.1135,0.1135,0.1135
1,2,0.1009,0.01009,0.1,0.01833,0.1009,0.1009,0.1009
1,3,0.0982,0.00982,0.1,0.01788,0.0982,0.0982,0.0982
1,4,0.1028,0.01028,0.1,0.01864,0.1028,0.1028,0.1028
1,5,0.0974,0.00974,0.1,0.01775,0.0974,0.0974,0.0974
1,6,0.1959,0.05029,0.19475,0.07718,0.1959,0.1959,0.1959
1,7,0.0958,0.00958,0.1,0.01748,0.0958,0.0958,0.0958
1,8,0.1843,0.07087,0.18696,0.09147,0.1843,0.1843,0.1843
1,9,0.0916,0.09175,0.09375,0.04075,0.0916,0.0916,0.0916
2,0,0.0892,0.00892,0.1,0.01638,0.0892,0.0892,0.0892
2,1,0.1135,0.01135,0.1,0.02039,0.1135,0.1135,0.1135
2,2,0.1015,0.01254,0.10062,0.01976,0.1015,0.1015,0.1015
2,3,0.0982,0.00982,0.1,0.01788,0.0982,0.0982,0.0982
2,4,0.1028,0.01028,0.1,0.01864,0.1028,0.1028,0.1028
2,5,0.0974,0.00974,0.1,0.01775,0.0974,0.0974,0.0974
2,6,0.1953,0.05944,0.19412,0.08543,0.1953,0.1953,0.1953
2,7,0.0958,0.00958,0.1,0.01748,0.0958,0.0958,0.0958
2,8,0.1667,0.08542,0.16859,0.09134,0.1667,0.1667,0.1667
2,9,0.2742,0.40641,0.27416,0.2203,0.2742,0.2742,0.2742
3,0,0.0892,0.00892,0.1,0.01638,0.0892,0.0892,0.0892
3,1,0.1282,0.11152,0.115,0.04675,0.1282,0.1282,0.1282
3,2,0.129,0.0303,0.12886,0.04385,0.129,0.129,0.129
3,3,0.0982,0.00982,0.1,0.01788,0.0982,0.0982,0.0982
3,4,0.1028,0.01028,0.1,0.01864,0.1028,0.1028,0.1028
3,5,0.1493,0.10712,0.15048,0.0851,0.1493,0.1493,0.1493
3,6,0.1946,0.05944,0.19346,0.08539,0.1946,0.1946,0.1946
3,7,0.0958,0.00958,0.1,0.01748,0.0958,0.0958,0.0958
3,8,0.1857,0.07584,0.18844,0.09536,0.1857,0.1857,0.1857
3,9,0.2211,0.14802,0.22835,0.12807,0.2211,0.2211,0.2211
4,0,0.0892,0.00895,0.1,0.01643,0.0892,0.0892,0.0892
4,1,0.1199,0.11142,0.10653,0.03276,0.1199,0.1199,0.1199
4,2,0.1065,0.01983,0.10575,0.02654,0.1065,0.1065,0.1065
4,3,0.0986,0.10982,0.10042,0.01872,0.0986,0.0986,0.0986
4,4,0.1038,0.08172,0.10104,0.02072,0.1038,0.1038,0.1038
4,5,0.2054,0.12877,0.20604,0.09685,0.2054,0.2054,0.2054
4,6,0.1934,0.04616,0.19239,0.0728,0.1934,0.1934,0.1934
4,7,0.0958,0.00958,0.1,0.01748,0.0958,0.0958,0.0958
4,8,0.1897,0.06552,0.19264,0.08951,0.1897,0.1897,0.1897
4,9,0.1988,0.24337,0.20557,0.09249,0.1988,0.1988,0.1988
5,0,0.1258,0.11249,0.13006,0.06421,0.1258,0.1258,0.1258
5,1,0.1794,0.21081,0.16725,0.10207,0.1794,0.1794,0.1794
5,2,0.2031,0.23278,0.20625,0.12314,0.2031,0.2031,0.2031
5,3,0.1023,0.09736,0.10428,0.02629,0.1023,0.1023,0.1023
5,4,0.165,0.09831,0.16493,0.09438,0.165,0.165,0.165
5,5,0.2119,0.29421,0.2151,0.16187,0.2119,0.2119,0.2119
5,6,0.197,0.27577,0.19589,0.10325,0.197,0.197,0.197
5,7,0.1558,0.23036,0.15966,0.10157,0.1558,0.1558,0.1558
5,8,0.191,0.06251,0.19403,0.0876,0.191,0.191,0.191
5,9,0.297,0.24052,0.30261,0.21268,0.297,0.297,0.297
6,0,0.1072,0.10858,0.11878,0.04878,0.1072,0.1072,0.1072
6,1,0.1887,0.20577,0.17698,0.12063,0.1887,0.1887,0.1887
6,2,0.2918,0.23172,0.29668,0.21023,0.2918,0.2918,0.2918
6,3,0.1797,0.18871,0.1849,0.11318,0.1797,0.1797,0.1797
6,4,0.1803,0.19501,0.18079,0.10902,0.1803,0.1803,0.1803
6,5,0.3077,0.21978,0.31197,0.20693,0.3077,0.3077,0.3077
6,6,0.2052,0.25946,0.20447,0.10836,0.2052,0.2052,0.2052
6,7,0.2956,0.28067,0.30072,0.20495,0.2956,0.2956,0.2956
6,8,0.188,0.08031,0.19086,0.09923,0.188,0.188,0.188
6,9,0.34,0.28833,0.3467,0.24796,0.34,0.34,0.34
7,0,0.2739,0.22497,0.28574,0.20411,0.2739,0.2739,0.2739
