round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.70983,0.35491,0.5,0.41515,0.70983,0.70983,0.70983
1,1,0.92901,0.46451,0.5,0.4816,0.92901,0.92901,0.92901
1,2,0.65763,0.16441,0.25,0.19837,0.65763,0.65763,0.65763
1,3,0.93365,0.31122,0.33333,0.3219,0.93365,0.93365,0.93365
1,4,0.95616,0.47808,0.5,0.4888,0.95616,0.95616,0.95616
1,5,0.54185,0.18062,0.33333,0.23429,0.54185,0.54185,0.54185
1,6,0.8995,0.5985,0.64619,0.62134,0.8995,0.8995,0.8995
1,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,8,0.94518,0.95924,0.92352,0.93781,0.94518,0.94518,0.94518
1,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,0.70983,0.35491,0.5,0.41515,0.70983,0.70983,0.70983
2,1,0.92901,0.46451,0.5,0.4816,0.92901,0.92901,0.92901
2,2,0.66261,0.36996,0.25409,0.20712,0.66261,0.66261,0.66261
2,3,0.93365,0.31122,0.33333,0.3219,0.93365,0.93365,0.93365
2,4,0.95616,0.47808,0.5,0.4888,0.95616,0.95616,0.95616
2,5,0.54185,0.18062,0.33333,0.23429,0.54185,0.54185,0.54185
2,6,0.89445,0.59568,0.64191,0.61791,0.89445,0.89445,0.89445
2,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,8,0.89193,0.92837,0.84724,0.87127,0.89193,0.89193,0.89193
2,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0,0.70983,0.35491,0.5,0.41515,0.70983,0.70983,0.70983
3,1,0.9428,0.971,0.59709,0.64767,0.9428,0.9428,0.9428
3,2,0.75553,0.41572,0.33143,0.33293,0.75553,0.75553,0.75553
3,3,0.93365,0.31122,0.33333,0.3219,0.93365,0.93365,0.93365
3,4,0.95616,0.47808,0.5,0.4888,0.95616,0.95616,0.95616
3,5,0.7489,0.56111,0.48544,0.47952,0.7489,0.7489,0.7489
3,6,0.89403,0.59555,0.64187,0.61783,0.89403,0.89403,0.89403
3,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,8,0.95519,0.96458,0.93869,0.94968,0.95519,0.95519,0.95519
3,9,0.66667,0.33333,0.5,0.4,0.66667,0.66667,0.66667
4,0,0.70983,0.35491,0.5,0.41515,0.70983,0.70983,0.70983
4,1,0.93315,0.96644,0.52913,0.53768,0.93315,0.93315,0.93315
4,2,0.68473,0.3967,0.27252,0.24323,0.68473,0.68473,0.68473
4,3,0.93365,0.31122,0.33333,0.3219,0.93365,0.93365,0.93365
4,4,0.95616,0.47808,0.5,0.4888,0.95616,0.95616,0.95616
4,5,0.92731,0.61757,0.62229,0.61941,0.92731,0.92731,0.92731
4,6,0.88141,0.58848,0.63489,0.60929,0.88141,0.88141,0.88141
4,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,8,0.96574,0.96916,0.95595,0.96201,0.96574,0.96574,0.96574
4,9,0.66667,0.33333,0.5,0.4,0.66667,0.66667,0.66667
5,0,0.35413,0.655,0.54505,0.3193,0.35413,0.35413,0.35413
5,1,0.98001,0.98947,0.85922,0.91276,0.98001,0.98001,0.98001
5,2,0.74613,0.63446,0.45217,0.43995,0.74613,0.74613,0.74613
5,3,0.93685,0.64555,0.34959,0.35344,0.93685,0.93685,0.93685
5,4,0.98265,0.99109,0.80208,0.87213,0.98265,0.98265,0.98265
5,5,0.80617,0.74625,0.69256,0.69402,0.80617,0.80617,0.80617
5,6,0.8894,0.59748,0.63742,0.61567,0.8894,0.8894,0.8894
5,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,8,0.96837,0.96725,0.96339,0.96527,0.96837,0.96837,0.96837
5,9,0.66667,0.33333,0.5,0.4,0.66667,0.66667,0.66667
6,0,0.71295,0.69003,0.50855,0.43643,0.71295,0.71295,0.71295
6,1,0.9807,0.98983,0.86408,0.91621,0.9807,0.9807,0.9807
6,2,0.92588,0.70516,0.58386,0.62394,0.92588,0.92588,0.92588
6,3,0.97762,0.61148,0.60227,0.60678,0.97762,0.97762,0.97762
6,4,0.98904,0.98164,0.88494,0.92738,0.98904,0.98904,0.98904
6,5,0.93172,0.73424,0.79031,0.75631,0.93172,0.93172,0.93172
6,6,0.89403,0.59608,0.64167,0.61796,0.89403,0.89403,0.89403
6,7,0.99738,0.5,0.49869,0.49934,0.99738,0.99738,0.99738
6,8,0.9631,0.96974,0.9502,0.95883,0.9631,0.9631,0.9631
6,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,0,0.71607,0.49896,0.53015,0.47392,0.71607,0.71607,0.71607
7,1,0.99035,0.66348,0.62136,0.64076,0.99035,0.99035,0.99035
7,2,0.90874,0.56509,0.46816,0.50387,0.90874,0.90874,0.90874
7,3,0.98082,0.63715,0.59207,0.61249,0.98082,0.98082,0.98082
7,4,0.99087,0.64487,0.6436,0.64424,0.99087,0.99087,0.99087
7,5,0.92511,0.71829,0.95182,0.76808,0.92511,0.92511,0.92511
7,6,0.89235,0.4461,0.48078,0.46278,0.89235,0.89235,0.89235
7,7,0.99475,0.5,0.49738,0.49868,0.99475,0.99475,0.99475
7,8,0.96468,0.9696,0.95345,0.96073,0.96468,0.96468,0.96468
7,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0
