round,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0.9075,0.90629,0.90615,0.90592,0.9075,0.9075,0.9075
2,0.9228,0.92224,0.92166,0.92167,0.9228,0.9228,0.9228
3,0.9307,0.93015,0.92964,0.92967,0.9307,0.9307,0.9307
4,0.9358,0.93536,0.93484,0.9349,0.9358,0.9358,0.9358
5,0.9402,0.93979,0.93925,0.93936,0.9402,0.9402,0.9402
6,0.9423,0.9419,0.94141,0.94151,0.9423,0.9423,0.9423
7,0.9437,0.94328,0.94287,0.94296,0.9437,0.9437,0.9437
8,0.9453,0.9449,0.94453,0.94462,0.9453,0.9453,0.9453
9,0.9473,0.94691,0.94659,0.94666,0.9473,0.9473,0.9473
10,0.9481,0.94771,0.94742,0.94748,0.9481,0.9481,0.9481
11,0.9491,0.94875,0.94845,0.94852,0.9491,0.9491,0.9491
12,0.9496,0.94923,0.94896,0.94901,0.9496,0.9496,0.9496
13,0.9502,0.94986,0.94955,0.94962,0.9502,0.9502,0.9502
14,0.9506,0.95028,0.94993,0.95001,0.9506,0.9506,0.9506
15,0.9509,0.95056,0.95022,0.95031,0.9509,0.9509,0.9509
16,0.9515,0.95113,0.9508,0.95089,0.9515,0.9515,0.9515
17,0.9517,0.95134,0.95099,0.95109,0.9517,0.9517,0.9517
18,0.9526,0.95226,0.9519,0.952,0.9526,0.9526,0.9526
19,0.9528,0.9525,0.95212,0.95223,0.9528,0.9528,0.9528
20,0.9533,0.95299,0.95263,0.95274,0.9533,0.9533,0.9533
21,0.9542,0.95389,0.95357,0.95367,0.9542,0.9542,0.9542
22,0.9544,0.95411,0.95377,0.95388,0.9544,0.9544,0.9544
23,0.9543,0.95401,0.95367,0.95378,0.9543,0.9543,0.9543
24,0.9546,0.95432,0.95399,0.95409,0.9546,0.9546,0.9546
25,0.9543,0.95401,0.95368,0.95378,0.9543,0.9543,0.9543
26,0.9551,0.95483,0.95451,0.95461,0.9551,0.9551,0.9551
27,0.9555,0.95523,0.95494,0.95503,0.9555,0.9555,0.9555
28,0.9554,0.95511,0.95479,0.95489,0.9554,0.9554,0.9554
29,0.9559,0.95559,0.95533,0.95541,0.9559,0.9559,0.9559
30,0.9552,0.9549,0.95458,0.95468,0.9552,0.9552,0.9552
