round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.8905,0.88934,0.8885,0.88874,0.8905,0.8905,0.8905
1,1,0.8836,0.88301,0.88199,0.88148,0.8836,0.8836,0.8836
1,2,0.8834,0.88236,0.88257,0.88171,0.8834,0.8834,0.8834
1,3,0.8779,0.87982,0.87662,0.87622,0.8779,0.8779,0.8779
1,4,0.8862,0.8852,0.88479,0.88422,0.8862,0.8862,0.8862
1,5,0.8951,0.89399,0.89374,0.89361,0.8951,0.8951,0.8951
1,6,0.8967,0.89615,0.89515,0.89504,0.8967,0.8967,0.8967
1,7,0.8809,0.88059,0.87933,0.87871,0.8809,0.8809,0.8809
1,8,0.8891,0.88793,0.88744,0.88736,0.8891,0.8891,0.8891
1,9,0.8796,0.8798,0.87717,0.87703,0.8796,0.8796,0.8796
2,0,0.9049,0.90408,0.90341,0.90359,0.9049,0.9049,0.9049
2,1,0.9,0.90054,0.89838,0.89858,0.9,0.9,0.9
2,2,0.8977,0.897,0.89669,0.89612,0.8977,0.8977,0.8977
2,3,0.8992,0.89853,0.8976,0.89766,0.8992,0.8992,0.8992
2,4,0.8999,0.89926,0.89869,0.89842,0.8999,0.8999,0.8999
2,5,0.9095,0.9081,0.90837,0.9081,0.9095,0.9095,0.9095
2,6,0.9117,0.91111,0.91009,0.91028,0.9117,0.9117,0.9117
2,7,0.8982,0.89751,0.89639,0.89646,0.8982,0.8982,0.8982
2,8,0.8979,0.89678,0.8965,0.89617,0.8979,0.8979,0.8979
2,9,0.9,0.89975,0.89834,0.89836,0.9,0.9,0.9
3,0,0.9144,0.91373,0.91318,0.91336,0.9144,0.9144,0.9144
3,1,0.9128,0.91336,0.91123,0.91147,0.9128,0.9128,0.9128
3,2,0.9103,0.90974,0.90928,0.90896,0.9103,0.9103,0.9103
3,3,0.913,0.91241,0.91165,0.91171,0.913,0.913,0.913
3,4,0.9109,0.91061,0.90975,0.90957,0.9109,0.9109,0.9109
3,5,0.9193,0.91827,0.91807,0.91793,0.9193,0.9193,0.9193
3,6,0.921,0.92071,0.91959,0.91982,0.921,0.921,0.921
3,7,0.911,0.91035,0.90947,0.90956,0.911,0.911,0.911
3,8,0.9093,0.90826,0.90807,0.90787,0.9093,0.9093,0.9093
3,9,0.912,0.9114,0.91072,0.91071,0.912,0.912,0.912
4,0,0.9217,0.92108,0.92063,0.9208,0.9217,0.9217,0.9217
4,1,0.9205,0.92101,0.91907,0.91935,0.9205,0.9205,0.9205
4,2,0.9204,0.91991,0.91951,0.91927,0.9204,0.9204,0.9204
4,3,0.9221,0.92153,0.92089,0.92096,0.9221,0.9221,0.9221
4,4,0.9197,0.91944,0.9185,0.91849,0.9197,0.9197,0.9197
4,5,0.9255,0.92458,0.9244,0.92431,0.9255,0.9255,0.9255
4,6,0.9283,0.92806,0.9271,0.9273,0.9283,0.9283,0.9283
4,7,0.9192,0.91876,0.91783,0.91796,0.9192,0.9192,0.9192
4,8,0.9182,0.91746,0.91704,0.91691,0.9182,0.9182,0.9182
4,9,0.9205,0.9201,0.91935,0.91935,0.9205,0.9205,0.9205
5,0,0.9274,0.92694,0.92638,0.92659,0.9274,0.9274,0.9274
5,1,0.9264,0.92705,0.92497,0.92535,0.9264,0.9264,0.9264
5,2,0.9269,0.9264,0.92616,0.92599,0.9269,0.9269,0.9269
5,3,0.9264,0.92587,0.92526,0.92533,0.9264,0.9264,0.9264
5,4,0.9256,0.9254,0.9247,0.92464,0.9256,0.9256,0.9256
5,5,0.93,0.92919,0.92899,0.92891,0.93,0.93,0.93
5,6,0.9327,0.93247,0.93165,0.93181,0.9327,0.9327,0.9327
5,7,0.9261,0.92581,0.92484,0.92502,0.9261,0.9261,0.9261
5,8,0.9223,0.92155,0.92115,0.92103,0.9223,0.9223,0.9223
5,9,0.9266,0.92616,0.92562,0.92561,0.9266,0.9266,0.9266
6,0,0.9321,0.93164,0.93109,0.9313,0.9321,0.9321,0.9321
6,1,0.9292,0.92979,0.92783,0.92817,0.9292,0.9292,0.9292
6,2,0.9312,0.9308,0.9305,0.93036,0.9312,0.9312,0.9312
6,3,0.9307,0.93024,0.92976,0.9298,0.9307,0.9307,0.9307
6,4,0.9292,0.92901,0.92837,0.92831,0.9292,0.9292,0.9292
6,5,0.9342,0.93345,0.93332,0.93325,0.9342,0.9342,0.9342
6,6,0.937,0.93678,0.93598,0.93615,0.937,0.937,0.937
6,7,0.9315,0.93118,0.93033,0.93046,0.9315,0.9315,0.9315
6,8,0.9276,0.92702,0.92659,0.92652,0.9276,0.9276,0.9276
6,9,0.9295,0.92907,0.92856,0.92855,0.9295,0.9295,0.9295
7,0,0.9369,0.93645,0.93594,0.93614,0.9369,0.9369,0.9369
7,1,0.9314,0.93202,0.9301,0.93044,0.9314,0.9314,0.9314
7,2,0.9345,0.93411,0.93386,0.93375,0.9345,0.9345,0.9345
7,3,0.9342,0.93376,0.93336,0.93338,0.9342,0.9342,0.9342
7,4,0.9347,0.93439,0.93391,0.93384,0.9347,0.9347,0.9347
7,5,0.9374,0.93667,0.9365,0.93643,0.9374,0.9374,0.9374
7,6,0.939,0.93864,0.93806,0.93814,0.939,0.939,0.939
7,7,0.9334,0.93305,0.93228,0.93241,0.9334,0.9334,0.9334
