round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.88354,0.88309,0.88177,0.8819,0.88354,0.88354,0.88354
1,1,0.87937,0.87897,0.87691,0.87637,0.87937,0.87937,0.87937
1,2,0.88813,0.88749,0.88703,0.88649,0.88813,0.88813,0.88813
1,3,0.87167,0.87519,0.8708,0.8705,0.87167,0.87167,0.87167
1,4,0.88708,0.88659,0.88423,0.88454,0.88708,0.88708,0.88708
1,5,0.88229,0.88208,0.88176,0.88176,0.88229,0.88229,0.88229
1,6,0.89542,0.89438,0.89432,0.89384,0.89542,0.89542,0.89542
1,7,0.87125,0.87036,0.86925,0.86911,0.87125,0.87125,0.87125
1,8,0.89208,0.88953,0.89019,0.88958,0.89208,0.89208,0.89208
1,9,0.87604,0.8749,0.87358,0.87348,0.87604,0.87604,0.87604
2,0,0.89646,0.89597,0.89487,0.89501,0.89646,0.89646,0.89646
2,1,0.89292,0.89426,0.89078,0.89083,0.89292,0.89292,0.89292
2,2,0.9025,0.90221,0.9014,0.90101,0.9025,0.9025,0.9025
2,3,0.89458,0.89414,0.89358,0.89328,0.89458,0.89458,0.89458
2,4,0.90417,0.90403,0.90237,0.90243,0.90417,0.90417,0.90417
2,5,0.89917,0.89888,0.89873,0.89857,0.89917,0.89917,0.89917
2,6,0.91083,0.90996,0.90943,0.90953,0.91083,0.91083,0.91083
2,7,0.89458,0.89336,0.89295,0.89297,0.89458,0.89458,0.89458
2,8,0.89792,0.89561,0.89566,0.89532,0.89792,0.89792,0.89792
2,9,0.8975,0.89824,0.89572,0.89602,0.8975,0.8975,0.8975
3,0,0.90979,0.90942,0.90848,0.9086,0.90979,0.90979,0.90979
3,1,0.90562,0.90633,0.90375,0.90401,0.90562,0.90562,0.90562
3,2,0.91354,0.91304,0.91246,0.91224,0.91354,0.91354,0.91354
3,3,0.90875,0.90828,0.90804,0.90782,0.90875,0.90875,0.90875
3,4,0.91333,0.91309,0.91171,0.91184,0.91333,0.91333,0.91333
3,5,0.90646,0.90642,0.90577,0.90581,0.90646,0.90646,0.90646
3,6,0.91938,0.91868,0.91843,0.91836,0.91938,0.91938,0.91938
3,7,0.90646,0.90558,0.90519,0.90526,0.90646,0.90646,0.90646
3,8,0.91333,0.91164,0.9114,0.91129,0.91333,0.91333,0.91333
3,9,0.91,0.90951,0.90891,0.90885,0.91,0.91,0.91
4,0,0.91521,0.91451,0.91395,0.91398,0.91521,0.91521,0.91521
4,1,0.91562,0.91639,0.91391,0.91424,0.91562,0.91562,0.91562
4,2,0.9225,0.92223,0.92151,0.92141,0.9225,0.9225,0.9225
4,3,0.91479,0.91433,0.91416,0.91394,0.91479,0.91479,0.91479
4,4,0.92167,0.9215,0.92015,0.92038,0.92167,0.92167,0.92167
4,5,0.91708,0.9171,0.91644,0.91653,0.91708,0.91708,0.91708
4,6,0.92708,0.9267,0.92635,0.92633,0.92708,0.92708,0.92708
4,7,0.91479,0.91411,0.91366,0.91376,0.91479,0.91479,0.91479
4,8,0.91896,0.91751,0.91717,0.91714,0.91896,0.91896,0.91896
4,9,0.91667,0.91645,0.91554,0.91555,0.91667,0.91667,0.91667
5,0,0.92083,0.92036,0.91978,0.91981,0.92083,0.92083,0.92083
5,1,0.92313,0.92412,0.92157,0.92201,0.92313,0.92313,0.92313
5,2,0.92708,0.92652,0.92629,0.92611,0.92708,0.92708,0.92708
5,3,0.92125,0.9209,0.92078,0.92052,0.92125,0.92125,0.92125
5,4,0.92813,0.92794,0.92671,0.92695,0.92813,0.92813,0.92813
5,5,0.92271,0.92257,0.92216,0.92217,0.92271,0.92271,0.92271
5,6,0.93187,0.9316,0.93097,0.93108,0.93187,0.93187,0.93187
5,7,0.92167,0.92094,0.92058,0.92069,0.92167,0.92167,0.92167
5,8,0.92563,0.92431,0.92413,0.92408,0.92563,0.92563,0.92563
5,9,0.92292,0.92263,0.92212,0.92206,0.92292,0.92292,0.92292
6,0,0.92521,0.92464,0.92427,0.9242,0.92521,0.92521,0.92521
6,1,0.92583,0.92654,0.92441,0.92479,0.92583,0.92583,0.92583
6,2,0.93167,0.93121,0.93091,0.93084,0.93167,0.93167,0.93167
6,3,0.92542,0.92514,0.92504,0.9248,0.92542,0.92542,0.92542
