round,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0.4563,0.65947,0.46934,0.38689,0.4563,0.4563,0.4563
2,0.6161,0.72888,0.62383,0.5729,0.6161,0.6161,0.6161
3,0.7733,0.80017,0.77405,0.75553,0.7733,0.7733,0.7733
4,0.8309,0.83209,0.83083,0.8273,0.8309,0.8309,0.8309
5,0.8566,0.85481,0.85677,0.85477,0.8566,0.8566,0.8566
6,0.8715,0.86971,0.87187,0.87001,0.8715,0.8715,0.8715
7,0.8786,0.87728,0.8789,0.87737,0.8786,0.8786,0.8786
8,0.8845,0.88356,0.88479,0.88333,0.8845,0.8845,0.8845
9,0.8901,0.88929,0.89025,0.88903,0.8901,0.8901,0.8901
10,0.8941,0.89397,0.89421,0.89302,0.8941,0.8941,0.8941
11,0.8956,0.89536,0.89567,0.89443,0.8956,0.8956,0.8956
12,0.8978,0.89788,0.89791,0.89673,0.8978,0.8978,0.8978
13,0.9003,0.90033,0.90037,0.89915,0.9003,0.9003,0.9003
14,0.9028,0.9032,0.9028,0.90175,0.9028,0.9028,0.9028
15,0.9042,0.90476,0.90424,0.90322,0.9042,0.9042,0.9042
16,0.9057,0.90647,0.90572,0.90474,0.9057,0.9057,0.9057
17,0.9079,0.90804,0.90796,0.90695,0.9079,0.9079,0.9079
18,0.911,0.9117,0.91106,0.91018,0.911,0.911,0.911
19,0.911,0.91183,0.91094,0.91006,0.911,0.911,0.911
20,0.9141,0.91422,0.91418,0.91332,0.9141,0.9141,0.9141
21,0.9149,0.91567,0.91491,0.91414,0.9149,0.9149,0.9149
22,0.9157,0.91672,0.91573,0.91499,0.9157,0.9157,0.9157
23,0.9163,0.91711,0.91621,0.91552,0.9163,0.9163,0.9163
24,0.9178,0.9185,0.9178,0.91706,0.9178,0.9178,0.9178
25,0.9174,0.91842,0.91744,0.91665,0.9174,0.9174,0.9174
26,0.9192,0.91952,0.91915,0.91835,0.9192,0.9192,0.9192
27,0.9209,0.92133,0.92091,0.92012,0.9209,0.9209,0.9209
28,0.9205,0.92113,0.92053,0.91969,0.9205,0.9205,0.9205
29,0.9215,0.92188,0.92152,0.92066,0.9215,0.9215,0.9215
30,0.9214,0.9221,0.92146,0.92065,0.9214,0.9214,0.9214
