round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.1831,0.03662,0.19635,0.06173,0.1831,0.1831,0.1831
1,1,0.2112,0.04255,0.19969,0.06998,0.2112,0.2112,0.2112
1,2,0.2912,0.21119,0.29472,0.15893,0.2912,0.2912,0.2912
1,3,0.1904,0.05305,0.19624,0.06956,0.1904,0.1904,0.1904
1,4,0.1975,0.04244,0.19887,0.06932,0.1975,0.1975,0.1975
1,5,0.281,0.11285,0.28446,0.15113,0.281,0.281,0.281
1,6,0.2874,0.1066,0.29676,0.15049,0.2874,0.2874,0.2874
1,7,0.0958,0.00958,0.1,0.01748,0.0958,0.0958,0.0958
1,8,0.1959,0.04764,0.19907,0.07484,0.1959,0.1959,0.1959
1,9,0.1172,0.03369,0.12224,0.04211,0.1172,0.1172,0.1172
2,0,0.1847,0.28698,0.19798,0.06411,0.1847,0.1847,0.1847
2,1,0.2209,0.34261,0.20987,0.08885,0.2209,0.2209,0.2209
2,2,0.3166,0.30774,0.31975,0.20374,0.3166,0.3166,0.3166
2,3,0.2451,0.27928,0.25221,0.15348,0.2451,0.2451,0.2451
2,4,0.228,0.26119,0.23027,0.1229,0.228,0.228,0.228
2,5,0.3128,0.37217,0.31693,0.20781,0.3128,0.3128,0.3128
2,6,0.2909,0.38319,0.30018,0.16065,0.2909,0.2909,0.2909
2,7,0.3346,0.603,0.33829,0.33382,0.3346,0.3346,0.3346
2,8,0.2008,0.24893,0.20407,0.08576,0.2008,0.2008,0.2008
2,9,0.5238,0.68415,0.53059,0.51392,0.5238,0.5238,0.5238
3,0,0.2489,0.64497,0.26293,0.17797,0.2489,0.2489,0.2489
3,1,0.3462,0.73867,0.33665,0.30147,0.3462,0.3462,0.3462
3,2,0.3474,0.48757,0.35107,0.25321,0.3474,0.3474,0.3474
3,3,0.3526,0.51359,0.36202,0.30997,0.3526,0.3526,0.3526
3,4,0.2992,0.59271,0.3032,0.24358,0.2992,0.2992,0.2992
3,5,0.3589,0.5968,0.36343,0.27193,0.3589,0.3589,0.3589
3,6,0.3222,0.67696,0.33114,0.22144,0.3222,0.3222,0.3222
3,7,0.537,0.70477,0.53302,0.54167,0.537,0.537,0.537
3,8,0.2205,0.70449,0.22411,0.12309,0.2205,0.2205,0.2205
3,9,0.6838,0.70283,0.68617,0.67733,0.6838,0.6838,0.6838
4,0,0.3175,0.74721,0.32994,0.28655,0.3175,0.3175,0.3175
4,1,0.447,0.76508,0.43844,0.43835,0.447,0.447,0.447
4,2,0.3805,0.6046,0.38444,0.30392,0.3805,0.3805,0.3805
4,3,0.4302,0.65783,0.43656,0.41369,0.4302,0.4302,0.4302
