round,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0.264,0.40321,0.26361,0.20925,0.264,0.264,0.264
2,0.2181,0.14012,0.2253,0.11931,0.2181,0.2181,0.2181
3,0.1874,0.23767,0.19396,0.07133,0.1874,0.1874,0.1874
4,0.2974,0.23335,0.30279,0.20812,0.2974,0.2974,0.2974
5,0.3463,0.29289,0.35306,0.2613,0.3463,0.3463,0.3463
6,0.417,0.35747,0.42722,0.31932,0.417,0.417,0.417
7,0.4381,0.45337,0.44484,0.3416,0.4381,0.4381,0.4381
8,0.4208,0.46459,0.42994,0.32712,0.4208,0.4208,0.4208
9,0.4868,0.54924,0.49316,0.39942,0.4868,0.4868,0.4868
10,0.5372,0.54567,0.54136,0.46437,0.5372,0.5372,0.5372
11,0.5597,0.70663,0.56163,0.50223,0.5597,0.5597,0.5597
12,0.5837,0.68805,0.58587,0.51872,0.5837,0.5837,0.5837
13,0.5924,0.68825,0.5956,0.52004,0.5924,0.5924,0.5924
14,0.6364,0.71686,0.63831,0.5808,0.6364,0.6364,0.6364
15,0.6726,0.73314,0.67317,0.63521,0.6726,0.6726,0.6726
16,0.6843,0.74688,0.68585,0.64467,0.6843,0.6843,0.6843
17,0.6779,0.75774,0.67976,0.63697,0.6779,0.6779,0.6779
18,0.7134,0.76807,0.71431,0.68744,0.7134,0.7134,0.7134
19,0.7345,0.77817,0.73562,0.7064,0.7345,0.7345,0.7345
20,0.7713,0.79862,0.77191,0.75826,0.7713,0.7713,0.7713
21,0.7502,0.79857,0.75063,0.73633,0.7502,0.7502,0.7502
22,0.7495,0.79266,0.75015,0.73176,0.7495,0.7495,0.7495
23,0.7428,0.78717,0.74397,0.71701,0.7428,0.7428,0.7428
24,0.7625,0.79878,0.76356,0.74395,0.7625,0.7625,0.7625
25,0.756,0.79847,0.75711,0.73898,0.756,0.756,0.756
26,0.7319,0.80307,0.73193,0.71679,0.7319,0.7319,0.7319
27,0.762,0.80384,0.76265,0.74513,0.762,0.762,0.762
28,0.7498,0.7986,0.75109,0.71707,0.7498,0.7498,0.7498
29,0.7434,0.79817,0.74474,0.71334,0.7434,0.7434,0.7434
30,0.7593,0.80518,0.76041,0.73608,0.7593,0.7593,0.7593
