round,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0.2973,0.3662,0.31255,0.225,0.2973,0.2973,0.2973
2,0.3954,0.45357,0.41171,0.29957,0.3954,0.3954,0.3954
3,0.6101,0.71008,0.61563,0.564,0.6101,0.6101,0.6101
4,0.6957,0.71526,0.69763,0.6545,0.6957,0.6957,0.6957
5,0.7202,0.69958,0.72175,0.68256,0.7202,0.7202,0.7202
6,0.7732,0.79318,0.77258,0.74016,0.7732,0.7732,0.7732
7,0.7517,0.80369,0.75273,0.72386,0.7517,0.7517,0.7517
8,0.789,0.82567,0.78826,0.75962,0.789,0.789,0.789
9,0.777,0.79758,0.77655,0.76236,0.777,0.777,0.777
10,0.7709,0.83922,0.77131,0.74371,0.7709,0.7709,0.7709
11,0.8355,0.84983,0.83564,0.82773,0.8355,0.8355,0.8355
12,0.8174,0.85598,0.81701,0.79971,0.8174,0.8174,0.8174
13,0.8608,0.8703,0.86039,0.85817,0.8608,0.8608,0.8608
14,0.8769,0.87593,0.87686,0.87535,0.8769,0.8769,0.8769
15,0.8655,0.87702,0.86498,0.86177,0.8655,0.8655,0.8655
16,0.8716,0.87466,0.87117,0.86883,0.8716,0.8716,0.8716
17,0.8783,0.87954,0.87837,0.87637,0.8783,0.8783,0.8783
18,0.8855,0.88949,0.88538,0.884,0.8855,0.8855,0.8855
19,0.8954,0.89484,0.89511,0.89447,0.8954,0.8954,0.8954
20,0.8866,0.89378,0.8865,0.88508,0.8866,0.8866,0.8866
21,0.8872,0.89619,0.8867,0.88584,0.8872,0.8872,0.8872
22,0.8758,0.89156,0.87564,0.87264,0.8758,0.8758,0.8758
23,0.8868,0.89581,0.8868,0.88488,0.8868,0.8868,0.8868
24,0.8964,0.90146,0.89677,0.89568,0.8964,0.8964,0.8964
25,0.8974,0.90106,0.89804,0.89697,0.8974,0.8974,0.8974
26,0.8957,0.90033,0.89573,0.89402,0.8957,0.8957,0.8957
27,0.9036,0.90457,0.9037,0.90234,0.9036,0.9036,0.9036
28,0.9046,0.90778,0.90446,0.90383,0.9046,0.9046,0.9046
29,0.9048,0.90839,0.90482,0.90413,0.9048,0.9048,0.9048
30,0.9044,0.90876,0.90381,0.90344,0.9044,0.9044,0.9044
