round,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0.86282,0.7024,0.55964,0.5727,0.86282,0.86282,0.86282
2,0.86254,0.70001,0.56458,0.57973,0.86254,0.86254,0.86254
3,0.86225,0.69803,0.5669,0.5829,0.86225,0.86225,0.86225
4,0.86215,0.69742,0.56737,0.58354,0.86215,0.86215,0.86215
5,0.86197,0.69635,0.56768,0.58394,0.86197,0.86197,0.86197
6,0.86191,0.696,0.56795,0.58428,0.86191,0.86191,0.86191
7,0.86211,0.69718,0.568,0.58439,0.86211,0.86211,0.86211
8,0.86213,0.6973,0.56789,0.58425,0.86213,0.86213,0.86213
9,0.86207,0.69694,0.56756,0.58379,0.86207,0.86207,0.86207
10,0.86205,0.69682,0.56773,0.58401,0.86205,0.86205,0.86205
11,0.86207,0.69694,0.56744,0.58363,0.86207,0.86207,0.86207
12,0.86223,0.69795,0.56493,0.58018,0.86223,0.86223,0.86223
13,0.86207,0.69694,0.56774,0.58403,0.86207,0.86207,0.86207
14,0.86201,0.69659,0.56794,0.5843,0.86201,0.86201,0.86201
15,0.86199,0.69647,0.56835,0.58484,0.86199,0.86199,0.86199
16,0.86213,0.6973,0.56736,0.58352,0.86213,0.86213,0.86213
17,0.86199,0.69647,0.56781,0.58412,0.86199,0.86199,0.86199
18,0.86215,0.69742,0.56725,0.58338,0.86215,0.86215,0.86215
19,0.86209,0.69706,0.56781,0.58413,0.86209,0.86209,0.86209
20,0.86215,0.69742,0.56761,0.58386,0.86215,0.86215,0.86215
21,0.86195,0.69624,0.56815,0.58456,0.86195,0.86195,0.86195
22,0.86215,0.69742,0.56696,0.58297,0.86215,0.86215,0.86215
23,0.86217,0.69754,0.56697,0.58299,0.86217,0.86217,0.86217
24,0.86187,0.69576,0.56792,0.58424,0.86187,0.86187,0.86187
25,0.86219,0.69766,0.56728,0.58342,0.86219,0.86219,0.86219
