round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.54167,0.57517,0.63845,0.49905,0.54167,0.54167,0.54167
1,1,0.8443,0.75667,0.52479,0.50802,0.8443,0.8443,0.8443
1,2,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
2,0,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
2,1,0.84211,0.75497,0.51239,0.48325,0.84211,0.84211,0.84211
2,2,0.26096,0.56744,0.54896,0.25908,0.26096,0.26096,0.26096
3,0,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
3,1,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
3,2,0.69298,0.59376,0.65646,0.59064,0.69298,0.69298,0.69298
4,0,0.82675,0.63237,0.56424,0.57486,0.82675,0.82675,0.82675
4,1,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
4,2,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
5,0,0.80044,0.64945,0.67608,0.66011,0.80044,0.80044,0.80044
5,1,0.16447,0.5804,0.50261,0.14371,0.16447,0.16447,0.16447
5,2,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
6,0,0.80044,0.59415,0.57075,0.57819,0.80044,0.80044,0.80044
6,1,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
6,2,0.8136,0.61649,0.57858,0.58926,0.8136,0.8136,0.8136
7,0,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
7,1,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
7,2,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
8,0,0.83772,0.41978,0.49869,0.45585,0.83772,0.83772,0.83772
8,1,0.78728,0.61801,0.62944,0.62303,0.78728,0.78728,0.78728
8,2,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
9,0,0.82675,0.63929,0.57532,0.58842,0.82675,0.82675,0.82675
9,1,0.82895,0.62691,0.54891,0.55413,0.82895,0.82895,0.82895
9,2,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
10,0,0.84211,0.69745,0.53457,0.52795,0.84211,0.84211,0.84211
10,1,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
10,2,0.83991,0.67377,0.52772,0.51621,0.83991,0.83991,0.83991
11,0,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
11,1,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
11,2,0.83772,0.41978,0.49869,0.45585,0.83772,0.83772,0.83772
12,0,0.70833,0.60157,0.6656,0.60286,0.70833,0.70833,0.70833
12,1,0.7193,0.55416,0.57234,0.55701,0.7193,0.7193,0.7193
12,2,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
13,0,0.58114,0.58713,0.66195,0.52955,0.58114,0.58114,0.58114
13,1,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
13,2,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
14,0,0.57018,0.59605,0.6776,0.52684,0.57018,0.57018,0.57018
14,1,0.82237,0.64338,0.60043,0.61409,0.82237,0.82237,0.82237
14,2,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
15,0,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
15,1,0.83991,0.67534,0.53881,0.53622,0.83991,0.83991,0.83991
15,2,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
16,0,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
16,1,0.74781,0.61453,0.66692,0.62493,0.74781,0.74781,0.74781
16,2,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
17,0,0.82456,0.63678,0.57956,0.59286,0.82456,0.82456,0.82456
17,1,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
17,2,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
18,0,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
18,1,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
18,2,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
19,0,0.82456,0.62993,0.56848,0.57988,0.82456,0.82456,0.82456
19,1,0.83114,0.64302,0.5613,0.57134,0.83114,0.83114,0.83114
19,2,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
20,0,0.34868,0.5684,0.58455,0.34702,0.34868,0.34868,0.34868
20,1,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
20,2,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
21,0,0.82456,0.62605,0.56293,0.57301,0.82456,0.82456,0.82456
21,1,0.64254,0.58835,0.6597,0.56454,0.64254,0.64254,0.64254
21,2,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
22,0,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
22,1,0.78947,0.61753,0.6252,0.62105,0.78947,0.78947,0.78947
22,2,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
23,0,0.83991,0.6707,0.50554,0.46973,0.83991,0.83991,0.83991
23,1,0.82237,0.63475,0.5838,0.59701,0.82237,0.82237,0.82237
23,2,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
24,0,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
24,1,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
24,2,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
25,0,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
25,1,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
25,2,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
