round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.48361,0.53022,0.54831,0.45268,0.48361,0.48361,0.48361
1,1,0.86885,0.6875,0.52653,0.52016,0.86885,0.86885,0.86885
1,2,0.84298,0.42149,0.5,0.4574,0.84298,0.84298,0.84298
2,0,0.81148,0.40574,0.5,0.44796,0.81148,0.81148,0.81148
2,1,0.86885,0.43443,0.5,0.46491,0.86885,0.86885,0.86885
2,2,0.2562,0.58716,0.55882,0.2537,0.2562,0.2562,0.2562
3,0,0.81148,0.40574,0.5,0.44796,0.81148,0.81148,0.81148
3,1,0.86885,0.43443,0.5,0.46491,0.86885,0.86885,0.86885
3,2,0.66942,0.59776,0.67544,0.58333,0.66942,0.66942,0.66942
4,0,0.7459,0.45179,0.47628,0.45684,0.7459,0.7459,0.7459
4,1,0.86885,0.43443,0.5,0.46491,0.86885,0.86885,0.86885
4,2,0.84298,0.42149,0.5,0.4574,0.84298,0.84298,0.84298
5,0,0.67213,0.51205,0.51427,0.51122,0.67213,0.67213,0.67213
5,1,0.14754,0.56667,0.50943,0.13617,0.14754,0.14754,0.14754
5,2,0.84298,0.42149,0.5,0.4574,0.84298,0.84298,0.84298
6,0,0.7459,0.53538,0.52635,0.52695,0.7459,0.7459,0.7459
6,1,0.86885,0.43443,0.5,0.46491,0.86885,0.86885,0.86885
6,2,0.82645,0.66882,0.66151,0.665,0.82645,0.82645,0.82645
7,0,0.81148,0.40574,0.5,0.44796,0.81148,0.81148,0.81148
7,1,0.86885,0.43443,0.5,0.46491,0.86885,0.86885,0.86885
7,2,0.84298,0.42149,0.5,0.4574,0.84298,0.84298,0.84298
8,0,0.80328,0.40496,0.49495,0.44545,0.80328,0.80328,0.80328
8,1,0.80328,0.586,0.59493,0.58992,0.80328,0.80328,0.80328
8,2,0.84298,0.42149,0.5,0.4574,0.84298,0.84298,0.84298
9,0,0.7459,0.48788,0.49297,0.48298,0.7459,0.7459,0.7459
9,1,0.84426,0.58199,0.53892,0.54397,0.84426,0.84426,0.84426
9,2,0.84298,0.42149,0.5,0.4574,0.84298,0.84298,0.84298
10,0,0.78689,0.40336,0.48485,0.44037,0.78689,0.78689,0.78689
10,1,0.86885,0.43443,0.5,0.46491,0.86885,0.86885,0.86885
10,2,0.8595,0.76812,0.59546,0.62083,0.8595,0.8595,0.8595
11,0,0.81148,0.40574,0.5,0.44796,0.81148,0.81148,0.81148
11,1,0.86885,0.43443,0.5,0.46491,0.86885,0.86885,0.86885
11,2,0.85124,0.925,0.52632,0.50946,0.85124,0.85124,0.85124
12,0,0.65574,0.57951,0.62099,0.57186,0.65574,0.65574,0.65574
12,1,0.72951,0.54968,0.57901,0.55042,0.72951,0.72951,0.72951
12,2,0.84298,0.42149,0.5,0.4574,0.84298,0.84298,0.84298
13,0,0.52459,0.54521,0.57356,0.48456,0.52459,0.52459,0.52459
13,1,0.86885,0.43443,0.5,0.46491,0.86885,0.86885,0.86885
13,2,0.84298,0.42149,0.5,0.4574,0.84298,0.84298,0.84298
14,0,0.51639,0.55283,0.5852,0.48301,0.51639,0.51639,0.51639
14,1,0.80328,0.54696,0.54186,0.54393,0.80328,0.80328,0.80328
14,2,0.84298,0.42149,0.5,0.4574,0.84298,0.84298,0.84298
15,0,0.81148,0.40574,0.5,0.44796,0.81148,0.81148,0.81148
15,1,0.87705,0.93802,0.53125,0.52578,0.87705,0.87705,0.87705
15,2,0.84298,0.42149,0.5,0.4574,0.84298,0.84298,0.84298
16,0,0.81148,0.40574,0.5,0.44796,0.81148,0.81148,0.81148
16,1,0.79508,0.60672,0.64328,0.61851,0.79508,0.79508,0.79508
16,2,0.84298,0.42149,0.5,0.4574,0.84298,0.84298,0.84298
17,0,0.7459,0.53538,0.52635,0.52695,0.7459,0.7459,0.7459
17,1,0.86885,0.43443,0.5,0.46491,0.86885,0.86885,0.86885
17,2,0.84298,0.42149,0.5,0.4574,0.84298,0.84298,0.84298
