round,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0.86075,0.69413,0.50236,0.46801,0.86075,0.86075,0.86075
2,0.86347,0.72375,0.53251,0.52834,0.86347,0.86347,0.86347
3,0.86365,0.72126,0.53694,0.53623,0.86365,0.86365,0.86365
4,0.86436,0.72225,0.54589,0.55134,0.86436,0.86436,0.86436
5,0.86461,0.72568,0.54551,0.55067,0.86461,0.86461,0.86461
6,0.86428,0.71989,0.5478,0.55448,0.86428,0.86428,0.86428
7,0.86459,0.72246,0.54905,0.55647,0.86459,0.86459,0.86459
8,0.8643,0.71701,0.55279,0.56241,0.8643,0.8643,0.8643
9,0.8644,0.71855,0.55178,0.56083,0.8644,0.8644,0.8644
10,0.86424,0.71706,0.55163,0.5606,0.86424,0.86424,0.86424
11,0.86428,0.71721,0.55207,0.56128,0.86428,0.86428,0.86428
12,0.86434,0.71738,0.55282,0.56245,0.86434,0.86434,0.86434
13,0.86416,0.71511,0.55396,0.56422,0.86416,0.86416,0.86416
14,0.86434,0.71645,0.55459,0.5652,0.86434,0.86434,0.86434
15,0.86447,0.71984,0.551,0.55959,0.86447,0.86447,0.86447
16,0.86442,0.71766,0.55369,0.56381,0.86442,0.86442,0.86442
17,0.86442,0.71683,0.55529,0.56627,0.86442,0.86442,0.86442
18,0.8644,0.71692,0.55475,0.56543,0.8644,0.8644,0.8644
19,0.86455,0.71741,0.55668,0.56838,0.86455,0.86455,0.86455
20,0.86459,0.71793,0.55634,0.56788,0.86459,0.86459,0.86459
21,0.86453,0.71744,0.55625,0.56773,0.86453,0.86453,0.86453
22,0.86477,0.72017,0.55526,0.56623,0.86477,0.86477,0.86477
23,0.86467,0.71885,0.55597,0.56732,0.86467,0.86467,0.86467
24,0.86465,0.71815,0.55697,0.56883,0.86465,0.86465,0.86465
25,0.86481,0.71992,0.55635,0.56789,0.86481,0.86481,0.86481
