round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.82675,0.5648,0.51434,0.4981,0.82675,0.82675,0.82675
1,1,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
1,2,0.83991,0.6707,0.50554,0.46973,0.83991,0.83991,0.83991
2,0,0.83772,0.5872,0.50424,0.4689,0.83772,0.83772,0.83772
2,1,0.83772,0.41978,0.49869,0.45585,0.83772,0.83772,0.83772
2,2,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
3,0,0.83553,0.54535,0.50293,0.46808,0.83553,0.83553,0.83553
3,1,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
3,2,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
4,0,0.83553,0.60938,0.51402,0.49191,0.83553,0.83553,0.83553
4,1,0.83553,0.58778,0.50848,0.4803,0.83553,0.83553,0.83553
4,2,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
5,0,0.83772,0.63633,0.51533,0.49303,0.83772,0.83772,0.83772
5,1,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
5,2,0.83114,0.41925,0.49478,0.45389,0.83114,0.83114,0.83114
6,0,0.83772,0.5872,0.50424,0.4689,0.83772,0.83772,0.83772
6,1,0.83772,0.5872,0.50424,0.4689,0.83772,0.83772,0.83772
6,2,0.83333,0.41943,0.49608,0.45455,0.83333,0.83333,0.83333
7,0,0.84211,0.69745,0.53457,0.52795,0.84211,0.84211,0.84211
7,1,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
7,2,0.83772,0.41978,0.49869,0.45585,0.83772,0.83772,0.83772
8,0,0.83772,0.62129,0.50978,0.48128,0.83772,0.83772,0.83772
8,1,0.83772,0.62129,0.50978,0.48128,0.83772,0.83772,0.83772
8,2,0.83772,0.41978,0.49869,0.45585,0.83772,0.83772,0.83772
9,0,0.84211,0.72239,0.51794,0.4953,0.84211,0.84211,0.84211
9,1,0.83991,0.67222,0.51663,0.49416,0.83991,0.83991,0.83991
9,2,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
10,0,0.83991,0.67146,0.51109,0.48226,0.83991,0.83991,0.83991
10,1,0.8443,0.79757,0.51924,0.49645,0.8443,0.8443,0.8443
10,2,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
11,0,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
11,1,0.84649,0.92274,0.52055,0.49761,0.84649,0.84649,0.84649
11,2,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
12,0,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
12,1,0.83333,0.61556,0.5238,0.51213,0.83333,0.83333,0.83333
12,2,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
13,0,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
13,1,0.83772,0.41978,0.49869,0.45585,0.83772,0.83772,0.83772
13,2,0.83772,0.41978,0.49869,0.45585,0.83772,0.83772,0.83772
14,0,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
14,1,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
14,2,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
15,0,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
15,1,0.83772,0.41978,0.49869,0.45585,0.83772,0.83772,0.83772
15,2,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
16,0,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
16,1,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
16,2,0.83772,0.41978,0.49869,0.45585,0.83772,0.83772,0.83772
17,0,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
17,1,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
17,2,0.83772,0.41978,0.49869,0.45585,0.83772,0.83772,0.83772
18,0,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
18,1,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
18,2,0.83772,0.41978,0.49869,0.45585,0.83772,0.83772,0.83772
19,0,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
19,1,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
19,2,0.83772,0.41978,0.49869,0.45585,0.83772,0.83772,0.83772
20,0,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
20,1,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
20,2,0.83772,0.41978,0.49869,0.45585,0.83772,0.83772,0.83772
21,0,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
21,1,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
21,2,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
22,0,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
22,1,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
22,2,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
23,0,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
23,1,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
23,2,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
24,0,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
24,1,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
24,2,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
25,0,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
25,1,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
25,2,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
