round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.84651,0.6736,0.50263,0.46473,0.84651,0.84651,0.84651
1,1,0.86893,0.43447,0.5,0.46494,0.86893,0.86893,0.86893
1,2,0.8608,0.43051,0.49986,0.4626,0.8608,0.8608,0.8608
1,3,0.85883,0.9294,0.50087,0.46376,0.85883,0.85883,0.85883
1,4,0.8613,0.8057,0.50251,0.46798,0.8613,0.8613,0.8613
1,5,0.86154,0.73093,0.50238,0.46806,0.86154,0.86154,0.86154
1,6,0.86499,0.59936,0.50063,0.46561,0.86499,0.86499,0.86499
1,7,0.86253,0.77316,0.52412,0.51134,0.86253,0.86253,0.86253
1,8,0.86327,0.76533,0.50821,0.4806,0.86327,0.86327,0.86327
1,9,0.86397,0.93197,0.5009,0.46531,0.86397,0.86397,0.86397
2,0,0.84996,0.72856,0.52898,0.51834,0.84996,0.84996,0.84996
2,1,0.86943,0.69536,0.52662,0.52014,0.86943,0.86943,0.86943
2,2,0.86302,0.72328,0.5227,0.51018,0.86302,0.86302,0.86302
2,3,0.8613,0.74585,0.52122,0.50623,0.8613,0.8613,0.8613
2,4,0.86401,0.72904,0.53376,0.5305,0.86401,0.86401,0.86401
2,5,0.86696,0.77349,0.53607,0.53402,0.86696,0.86696,0.86696
2,6,0.86647,0.70304,0.53158,0.52816,0.86647,0.86647,0.86647
2,7,0.86548,0.744,0.55859,0.57098,0.86548,0.86548,0.86548
2,8,0.86672,0.73964,0.54321,0.54699,0.86672,0.86672,0.86672
2,9,0.86422,0.69244,0.52694,0.5196,0.86422,0.86422,0.86422
3,0,0.85144,0.734,0.53905,0.53642,0.85144,0.85144,0.85144
3,1,0.86992,0.70115,0.53329,0.53205,0.86992,0.86992,0.86992
3,2,0.86499,0.74343,0.53351,0.52985,0.86499,0.86499,0.86499
3,3,0.86376,0.7598,0.53576,0.53299,0.86376,0.86376,0.86376
3,4,0.86253,0.70757,0.53142,0.52675,0.86253,0.86253,0.86253
3,5,0.86746,0.77853,0.53785,0.53709,0.86746,0.86746,0.86746
3,6,0.86721,0.7149,0.53124,0.52728,0.86721,0.86721,0.86721
3,7,0.86672,0.7495,0.56513,0.5809,0.86672,0.86672,0.86672
3,8,0.86672,0.73754,0.54471,0.54952,0.86672,0.86672,0.86672
3,9,0.86545,0.70571,0.53831,0.53955,0.86545,0.86545,0.86545
4,0,0.8507,0.7158,0.5465,0.54947,0.8507,0.8507,0.8507
4,1,0.86943,0.69497,0.52901,0.52454,0.86943,0.86943,0.86943
4,2,0.86425,0.72427,0.53755,0.53731,0.86425,0.86425,0.86425
4,3,0.86302,0.75157,0.53314,0.52845,0.86302,0.86302,0.86302
4,4,0.86277,0.70546,0.5412,0.54384,0.86277,0.86277,0.86277
4,5,0.86746,0.75234,0.54828,0.55513,0.86746,0.86746,0.86746
4,6,0.86721,0.70805,0.54204,0.54611,0.86721,0.86721,0.86721
4,7,0.86672,0.7436,0.57095,0.58929,0.86672,0.86672,0.86672
4,8,0.86548,0.7162,0.553,0.56299,0.86548,0.86548,0.86548
4,9,0.8657,0.70611,0.54455,0.54995,0.8657,0.8657,0.8657
5,0,0.85144,0.72273,0.54759,0.55116,0.85144,0.85144,0.85144
5,1,0.86918,0.69142,0.53446,0.5343,0.86918,0.86918,0.86918
5,2,0.86425,0.72191,0.53978,0.5412,0.86425,0.86425,0.86425
5,3,0.8645,0.77467,0.53619,0.53354,0.8645,0.8645,0.8645
5,4,0.86228,0.70055,0.53943,0.54094,0.86228,0.86228,0.86228
5,5,0.86721,0.77104,0.53845,0.53824,0.86721,0.86721,0.86721
5,6,0.86746,0.71305,0.53832,0.53977,0.86746,0.86746,0.86746
5,7,0.86573,0.72925,0.58129,0.60301,0.86573,0.86573,0.86573
5,8,0.86647,0.7373,0.54232,0.54551,0.86647,0.86647,0.86647
5,9,0.86496,0.69867,0.54412,0.54934,0.86496,0.86496,0.86496
6,0,0.85119,0.71746,0.55073,0.55635,0.85119,0.85119,0.85119
6,1,0.86967,0.69796,0.53235,0.53046,0.86967,0.86967,0.86967
6,2,0.86302,0.70401,0.54575,0.5514,0.86302,0.86302,0.86302
6,3,0.8645,0.76737,0.53837,0.5375,0.8645,0.8645,0.8645
6,4,0.86302,0.70858,0.54061,0.54278,0.86302,0.86302,0.86302
6,5,0.8677,0.76015,0.54619,0.5516,0.8677,0.8677,0.8677
6,6,0.86844,0.72028,0.54584,0.55222,0.86844,0.86844,0.86844
6,7,0.86844,0.75172,0.5785,0.60008,0.86844,0.86844,0.86844
6,8,0.86598,0.72135,0.55253,0.56226,0.86598,0.86598,0.86598
6,9,0.86644,0.71088,0.55183,0.56151,0.86644,0.86644,0.86644
7,0,0.85095,0.71772,0.5473,0.55076,0.85095,0.85095,0.85095
7,1,0.86869,0.68604,0.53657,0.53803,0.86869,0.86869,0.86869
7,2,0.86425,0.71813,0.54424,0.54875,0.86425,0.86425,0.86425
7,3,0.86475,0.75663,0.54433,0.54791,0.86475,0.86475,0.86475
7,4,0.86302,0.7037,0.55544,0.5665,0.86302,0.86302,0.86302
7,5,0.86746,0.75802,0.5453,0.55013,0.86746,0.86746,0.86746
7,6,0.86918,0.72566,0.55012,0.55908,0.86918,0.86918,0.86918
7,7,0.86746,0.74848,0.57283,0.59207,0.86746,0.86746,0.86746
7,8,0.86696,0.73431,0.55011,0.55836,0.86696,0.86696,0.86696
7,9,0.86594,0.70971,0.54241,0.54638,0.86594,0.86594,0.86594
8,0,0.85317,0.74501,0.54664,0.54922,0.85317,0.85317,0.85317
8,1,0.86721,0.67344,0.54051,0.54482,0.86721,0.86721,0.86721
8,2,0.86228,0.69688,0.54607,0.55199,0.86228,0.86228,0.86228
8,3,0.86524,0.75928,0.5468,0.55203,0.86524,0.86524,0.86524
8,4,0.86203,0.696,0.5571,0.56893,0.86203,0.86203,0.86203
8,5,0.86893,0.7587,0.55659,0.56844,0.86893,0.86893,0.86893
8,6,0.86967,0.73789,0.54423,0.54942,0.86967,0.86967,0.86967
8,7,0.86844,0.74473,0.58723,0.61148,0.86844,0.86844,0.86844
8,8,0.86844,0.738,0.56296,0.57821,0.86844,0.86844,0.86844
8,9,0.86767,0.72375,0.55102,0.56021,0.86767,0.86767,0.86767
9,0,0.85193,0.72447,0.55117,0.55696,0.85193,0.85193,0.85193
9,1,0.86819,0.68156,0.53868,0.54167,0.86819,0.86819,0.86819
9,2,0.86524,0.7334,0.54184,0.54453,0.86524,0.86524,0.86524
9,3,0.86573,0.76328,0.54854,0.55488,0.86573,0.86573,0.86573
9,4,0.86425,0.71387,0.55616,0.56761,0.86425,0.86425,0.86425
9,5,0.86647,0.74899,0.54175,0.54423,0.86647,0.86647,0.86647
9,6,0.86967,0.73419,0.54732,0.55453,0.86967,0.86967,0.86967
9,7,0.86795,0.74055,0.5884,0.61277,0.86795,0.86795,0.86795
9,8,0.86943,0.73988,0.57178,0.59099,0.86943,0.86943,0.86943
9,9,0.86865,0.73034,0.55616,0.56821,0.86865,0.86865,0.86865
10,0,0.85169,0.72098,0.55233,0.55887,0.85169,0.85169,0.85169
10,1,0.86844,0.68275,0.53403,0.53375,0.86844,0.86844,0.86844
10,2,0.8645,0.72038,0.54512,0.55018,0.8645,0.8645,0.8645
10,3,0.86548,0.75692,0.54986,0.55709,0.86548,0.86548,0.86548
10,4,0.86253,0.69992,0.55442,0.56494,0.86253,0.86253,0.86253
10,5,0.86918,0.76299,0.55599,0.5675,0.86918,0.86918,0.86918
