round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.54137,0.48209,0.46366,0.4299,0.54137,0.54137,0.54137
1,1,0.37634,0.43495,0.3682,0.32456,0.37634,0.37634,0.37634
1,2,0.82297,0.60531,0.58528,0.59298,0.82297,0.82297,0.82297
1,3,0.43372,0.57542,0.63628,0.41515,0.43372,0.43372,0.43372
1,4,0.73275,0.53783,0.55279,0.53906,0.73275,0.73275,0.73275
1,5,0.86036,0.59346,0.50071,0.46456,0.86036,0.86036,0.86036
1,6,0.86067,0.43034,0.5,0.46256,0.86067,0.86067,0.86067
1,7,0.74689,0.61043,0.68632,0.61921,0.74689,0.74689,0.74689
1,8,0.38625,0.45562,0.41107,0.34097,0.38625,0.38625,0.38625
1,9,0.81427,0.61818,0.62291,0.62044,0.81427,0.81427,0.81427
2,0,0.86069,0.69129,0.50072,0.46425,0.86069,0.86069,0.86069
2,1,0.86105,0.77375,0.50229,0.46756,0.86105,0.86105,0.86105
2,2,0.86067,0.43034,0.5,0.46256,0.86067,0.86067,0.86067
2,3,0.82852,0.65299,0.66853,0.65999,0.82852,0.82852,0.82852
2,4,0.86061,0.43033,0.49997,0.46254,0.86061,0.86061,0.86061
2,5,0.86032,0.618,0.50139,0.46622,0.86032,0.86032,0.86032
2,6,0.86065,0.43033,0.49999,0.46255,0.86065,0.86065,0.86065
2,7,0.86124,0.69167,0.56276,0.57701,0.86124,0.86124,0.86124
2,8,0.86185,0.74014,0.51005,0.48435,0.86185,0.86185,0.86185
2,9,0.86059,0.60894,0.50025,0.46324,0.86059,0.86059,0.86059
3,0,0.86055,0.61789,0.50046,0.46379,0.86055,0.86055,0.86055
3,1,0.86053,0.62396,0.50063,0.4642,0.86053,0.86053,0.86053
3,2,0.86067,0.43034,0.5,0.46256,0.86067,0.86067,0.86067
3,3,0.84486,0.66652,0.64459,0.65412,0.84486,0.84486,0.84486
3,4,0.86071,0.74287,0.50032,0.46327,0.86071,0.86071,0.86071
3,5,0.86038,0.64349,0.50238,0.46844,0.86038,0.86038,0.86038
3,6,0.86067,0.68034,0.50006,0.4627,0.86067,0.86067,0.86067
3,7,0.86264,0.70429,0.54412,0.54867,0.86264,0.86264,0.86264
3,8,0.86051,0.64927,0.50157,0.46642,0.86051,0.86051,0.86051
3,9,0.86055,0.61789,0.50046,0.46379,0.86055,0.86055,0.86055
4,0,0.86034,0.56552,0.5004,0.46386,0.86034,0.86034,0.86034
4,1,0.86043,0.62045,0.50099,0.46514,0.86043,0.86043,0.86043
4,2,0.86065,0.43033,0.49999,0.46255,0.86065,0.86065,0.86065
4,3,0.84553,0.66795,0.64546,0.65521,0.84553,0.84553,0.84553
