round,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0.86071,0.70126,0.50079,0.46439,0.86071,0.86071,0.86071
2,0.86055,0.61789,0.50046,0.46379,0.86055,0.86055,0.86055
3,0.86034,0.56552,0.5004,0.46386,0.86034,0.86034,0.86034
4,0.86038,0.60391,0.50084,0.46485,0.86038,0.86038,0.86038
5,0.86032,0.61431,0.50128,0.46594,0.86032,0.86032,0.86032
6,0.86036,0.62496,0.50148,0.46637,0.86036,0.86036,0.86036
7,0.86038,0.6277,0.50149,0.46637,0.86038,0.86038,0.86038
8,0.86034,0.62385,0.50152,0.4665,0.86034,0.86034,0.86034
9,0.86034,0.62674,0.50164,0.46677,0.86034,0.86034,0.86034
10,0.8603,0.6295,0.50198,0.46759,0.8603,0.8603,0.8603
11,0.8603,0.62837,0.50192,0.46745,0.8603,0.8603,0.8603
12,0.86038,0.63538,0.50184,0.4672,0.86038,0.86038,0.86038
13,0.86028,0.6224,0.50173,0.46703,0.86028,0.86028,0.86028
14,0.86026,0.62286,0.50183,0.4673,0.86026,0.86026,0.86026
15,0.86032,0.63057,0.50193,0.46746,0.86032,0.86032,0.86032
16,0.86034,0.63282,0.50194,0.46746,0.86034,0.86034,0.86034
17,0.86032,0.62823,0.50181,0.46718,0.86032,0.86032,0.86032
18,0.8603,0.62331,0.50168,0.4669,0.8603,0.8603,0.8603
19,0.86026,0.62156,0.50178,0.46716,0.86026,0.86026,0.86026
20,0.86038,0.63747,0.50196,0.46748,0.86038,0.86038,0.86038
21,0.8604,0.63987,0.50197,0.46748,0.8604,0.8604,0.8604
22,0.86034,0.63488,0.50206,0.46774,0.86034,0.86034,0.86034
23,0.86032,0.63649,0.50228,0.46828,0.86032,0.86032,0.86032
24,0.86032,0.63166,0.50199,0.46759,0.86032,0.86032,0.86032
25,0.86028,0.62738,0.50196,0.46758,0.86028,0.86028,0.86028
26,0.8602,0.61934,0.50192,0.46756,0.8602,0.8602,0.8602
27,0.86022,0.62003,0.50187,0.46742,0.86022,0.86022,0.86022
28,0.8603,0.62331,0.50168,0.4669,0.8603,0.8603,0.8603
29,0.86026,0.62156,0.50178,0.46716,0.86026,0.86026,0.86026
30,0.86026,0.61727,0.5016,0.46675,0.86026,0.86026,0.86026
