round,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0.86067,0.43034,0.5,0.46256,0.86067,0.86067,0.86067
2,0.86067,0.43034,0.5,0.46256,0.86067,0.86067,0.86067
3,0.86067,0.43034,0.5,0.46256,0.86067,0.86067,0.86067
4,0.86067,0.43034,0.5,0.46256,0.86067,0.86067,0.86067
5,0.86067,0.43034,0.5,0.46256,0.86067,0.86067,0.86067
6,0.86067,0.43034,0.5,0.46256,0.86067,0.86067,0.86067
7,0.86067,0.43034,0.5,0.46256,0.86067,0.86067,0.86067
8,0.86067,0.43034,0.5,0.46256,0.86067,0.86067,0.86067
9,0.86067,0.43034,0.5,0.46256,0.86067,0.86067,0.86067
10,0.86067,0.43034,0.5,0.46256,0.86067,0.86067,0.86067
11,0.86067,0.43034,0.5,0.46256,0.86067,0.86067,0.86067
12,0.86067,0.43034,0.5,0.46256,0.86067,0.86067,0.86067
13,0.86067,0.43034,0.5,0.46256,0.86067,0.86067,0.86067
14,0.86067,0.43034,0.5,0.46256,0.86067,0.86067,0.86067
15,0.86067,0.43034,0.5,0.46256,0.86067,0.86067,0.86067
16,0.86067,0.43034,0.5,0.46256,0.86067,0.86067,0.86067
17,0.86067,0.68034,0.50006,0.4627,0.86067,0.86067,0.86067
18,0.86067,0.68034,0.50006,0.4627,0.86067,0.86067,0.86067
19,0.86065,0.59701,0.50005,0.46269,0.86065,0.86065,0.86065
20,0.86065,0.59701,0.50005,0.46269,0.86065,0.86065,0.86065
21,0.86065,0.59701,0.50005,0.46269,0.86065,0.86065,0.86065
22,0.86065,0.59701,0.50005,0.46269,0.86065,0.86065,0.86065
23,0.86063,0.55534,0.50004,0.46269,0.86063,0.86063,0.86063
24,0.86065,0.59701,0.50005,0.46269,0.86065,0.86065,0.86065
25,0.86063,0.59701,0.5001,0.46283,0.86063,0.86063,0.86063
26,0.86063,0.55534,0.50004,0.46269,0.86063,0.86063,0.86063
27,0.86065,0.59701,0.50005,0.46269,0.86065,0.86065,0.86065
28,0.86065,0.59701,0.50005,0.46269,0.86065,0.86065,0.86065
29,0.86061,0.53034,0.50002,0.46268,0.86061,0.86061,0.86061
30,0.86063,0.55534,0.50004,0.46269,0.86063,0.86063,0.86063
