round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.89973,0.44986,0.5,0.47361,0.89973,0.89973,0.89973
1,1,0.64865,0.4543,0.46627,0.4565,0.64865,0.64865,0.64865
1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,3,0.87712,0.43856,0.5,0.46727,0.87712,0.87712,0.87712
1,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,5,0.84951,0.42476,0.5,0.45932,0.84951,0.84951,0.84951
1,6,0.91706,0.45853,0.5,0.47837,0.91706,0.91706,0.91706
1,7,0.69879,0.34939,0.5,0.41135,0.69879,0.69879,0.69879
1,8,0.50943,0.48403,0.49588,0.38725,0.50943,0.50943,0.50943
1,9,0.86788,0.43394,0.5,0.46463,0.86788,0.86788,0.86788
2,0,0.89973,0.44986,0.5,0.47361,0.89973,0.89973,0.89973
2,1,0.24324,0.12162,0.5,0.19565,0.24324,0.24324,0.24324
2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,3,0.43791,0.56176,0.62927,0.40907,0.43791,0.43791,0.43791
2,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,5,0.84951,0.42476,0.5,0.45932,0.84951,0.84951,0.84951
2,6,0.91706,0.45853,0.5,0.47837,0.91706,0.91706,0.91706
2,7,0.69879,0.34939,0.5,0.41135,0.69879,0.69879,0.69879
2,8,0.48428,0.24214,0.5,0.32627,0.48428,0.48428,0.48428
2,9,0.86788,0.43394,0.5,0.46463,0.86788,0.86788,0.86788
3,0,0.89973,0.44986,0.5,0.47361,0.89973,0.89973,0.89973
3,1,0.24324,0.12162,0.5,0.19565,0.24324,0.24324,0.24324
3,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,3,0.54118,0.56966,0.66069,0.48126,0.54118,0.54118,0.54118
3,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,5,0.84951,0.42476,0.5,0.45932,0.84951,0.84951,0.84951
3,6,0.91706,0.45853,0.5,0.47837,0.91706,0.91706,0.91706
3,7,0.69879,0.34939,0.5,0.41135,0.69879,0.69879,0.69879
3,8,0.48428,0.24214,0.5,0.32627,0.48428,0.48428,0.48428
3,9,0.86788,0.43394,0.5,0.46463,0.86788,0.86788,0.86788
4,0,0.89973,0.44986,0.5,0.47361,0.89973,0.89973,0.89973
4,1,0.24324,0.12162,0.5,0.19565,0.24324,0.24324,0.24324
4,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,3,0.58824,0.57697,0.67837,0.5134,0.58824,0.58824,0.58824
4,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,5,0.84951,0.42476,0.5,0.45932,0.84951,0.84951,0.84951
4,6,0.91706,0.45853,0.5,0.47837,0.91706,0.91706,0.91706
4,7,0.69879,0.34939,0.5,0.41135,0.69879,0.69879,0.69879
4,8,0.48428,0.24214,0.5,0.32627,0.48428,0.48428,0.48428
4,9,0.86788,0.43394,0.5,0.46463,0.86788,0.86788,0.86788
5,0,0.89973,0.44986,0.5,0.47361,0.89973,0.89973,0.89973
5,1,0.24324,0.12162,0.5,0.19565,0.24324,0.24324,0.24324
5,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,3,0.66797,0.59641,0.71468,0.57011,0.66797,0.66797,0.66797
5,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,5,0.84951,0.42476,0.5,0.45932,0.84951,0.84951,0.84951
5,6,0.91706,0.45853,0.5,0.47837,0.91706,0.91706,0.91706
5,7,0.69879,0.34939,0.5,0.41135,0.69879,0.69879,0.69879
5,8,0.48428,0.24214,0.5,0.32627,0.48428,0.48428,0.48428
5,9,0.86788,0.43394,0.5,0.46463,0.86788,0.86788,0.86788
6,0,0.89973,0.44986,0.5,0.47361,0.89973,0.89973,0.89973
6,1,0.24324,0.12162,0.5,0.19565,0.24324,0.24324,0.24324
6,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,3,0.67059,0.59913,0.72074,0.5735,0.67059,0.67059,0.67059
