round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.56369,0.49306,0.48136,0.42744,0.56369,0.56369,0.56369
1,1,0.2973,0.32887,0.27183,0.27121,0.2973,0.2973,0.2973
1,2,0.91114,0.5,0.45557,0.47675,0.91114,0.91114,0.91114
1,3,0.86013,0.67206,0.66412,0.66793,0.86013,0.86013,0.86013
1,4,0.7806,0.5,0.3903,0.43839,0.7806,0.7806,0.7806
1,5,0.84974,0.73747,0.50168,0.46309,0.84974,0.84974,0.84974
1,6,0.91706,0.45853,0.5,0.47837,0.91706,0.91706,0.91706
1,7,0.73366,0.69028,0.70423,0.6955,0.73366,0.73366,0.73366
1,8,0.42767,0.42777,0.4277,0.42758,0.42767,0.42767,0.42767
1,9,0.8165,0.61216,0.62179,0.61653,0.8165,0.8165,0.8165
2,0,0.89973,0.44986,0.5,0.47361,0.89973,0.89973,0.89973
2,1,0.24324,0.12162,0.5,0.19565,0.24324,0.24324,0.24324
2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,3,0.47974,0.57192,0.65769,0.44198,0.47974,0.47974,0.47974
2,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,5,0.84968,0.70505,0.50226,0.46454,0.84968,0.84968,0.84968
2,6,0.91706,0.45853,0.5,0.47837,0.91706,0.91706,0.91706
2,7,0.73027,0.73514,0.56826,0.54953,0.73027,0.73027,0.73027
2,8,0.49057,0.57692,0.5057,0.34971,0.49057,0.49057,0.49057
2,9,0.86788,0.68407,0.50112,0.46725,0.86788,0.86788,0.86788
3,0,0.89973,0.44986,0.5,0.47361,0.89973,0.89973,0.89973
3,1,0.24324,0.12162,0.5,0.19565,0.24324,0.24324,0.24324
3,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,3,0.41438,0.56501,0.62958,0.39256,0.41438,0.41438,0.41438
3,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,5,0.84957,0.68018,0.50405,0.46884,0.84957,0.84957,0.84957
3,6,0.91706,0.45853,0.5,0.47837,0.91706,0.91706,0.91706
3,7,0.72591,0.76657,0.55279,0.51973,0.72591,0.72591,0.72591
3,8,0.49057,0.74367,0.5061,0.33971,0.49057,0.49057,0.49057
3,9,0.86788,0.68407,0.50112,0.46725,0.86788,0.86788,0.86788
4,0,0.89973,0.44986,0.5,0.47361,0.89973,0.89973,0.89973
4,1,0.24324,0.12162,0.5,0.19565,0.24324,0.24324,0.24324
4,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,3,0.41438,0.56501,0.62958,0.39256,0.41438,0.41438,0.41438
4,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,5,0.84946,0.6714,0.50475,0.47059,0.84946,0.84946,0.84946
4,6,0.91706,0.45853,0.5,0.47837,0.91706,0.91706,0.91706
4,7,0.72494,0.7546,0.55256,0.52017,0.72494,0.72494,0.72494
4,8,0.49057,0.74367,0.5061,0.33971,0.49057,0.49057,0.49057
4,9,0.86858,0.80937,0.50377,0.47265,0.86858,0.86858,0.86858
5,0,0.89973,0.44986,0.5,0.47361,0.89973,0.89973,0.89973
5,1,0.24324,0.12162,0.5,0.19565,0.24324,0.24324,0.24324
5,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,3,0.41176,0.56456,0.62809,0.39047,0.41176,0.41176,0.41176
5,4,0.99851,0.5,0.49925,0.49963,0.99851,0.99851,0.99851
5,5,0.84934,0.66453,0.50499,0.47126,0.84934,0.84934,0.84934
5,6,0.91699,0.45853,0.49996,0.47835,0.91699,0.91699,0.91699
5,7,0.72349,0.73967,0.55197,0.52027,0.72349,0.72349,0.72349
5,8,0.50314,0.74679,0.51829,0.36577,0.50314,0.50314,0.50314
5,9,0.86858,0.80937,0.50377,0.47265,0.86858,0.86858,0.86858
6,0,0.89973,0.44986,0.5,0.47361,0.89973,0.89973,0.89973
6,1,0.24324,0.12162,0.5,0.19565,0.24324,0.24324,0.24324
6,2,0.99945,0.5,0.49973,0.49986,0.99945,0.99945,0.99945
6,3,0.41307,0.56479,0.62883,0.39151,0.41307,0.41307,0.41307
6,4,0.99851,0.5,0.49925,0.49963,0.99851,0.99851,0.99851
6,5,0.8494,0.66781,0.50487,0.47092,0.8494,0.8494,0.8494
6,6,0.91685,0.45852,0.49988,0.47831,0.91685,0.91685,0.91685
6,7,0.723,0.73348,0.55208,0.521,0.723,0.723,0.723
6,8,0.50314,0.74679,0.51829,0.36577,0.50314,0.50314,0.50314
6,9,0.86858,0.76783,0.50489,0.4752,0.86858,0.86858,0.86858
7,0,0.89973,0.44986,0.5,0.47361,0.89973,0.89973,0.89973
7,1,0.24324,0.12162,0.5,0.19565,0.24324,0.24324,0.24324
7,2,0.99945,0.5,0.49973,0.49986,0.99945,0.99945,0.99945
7,3,0.40784,0.56389,0.62585,0.38732,0.40784,0.40784,0.40784
7,4,0.99851,0.5,0.49925,0.49963,0.99851,0.99851,0.99851
7,5,0.84946,0.67215,0.50568,0.47271,0.84946,0.84946,0.84946
7,6,0.91699,0.45853,0.49996,0.47835,0.91699,0.91699,0.91699
7,7,0.72252,0.71983,0.55402,0.52582,0.72252,0.72252,0.72252
7,8,0.50943,0.74839,0.52439,0.37841,0.50943,0.50943,0.50943
7,9,0.86858,0.76783,0.50489,0.4752,0.86858,0.86858,0.86858
8,0,0.89973,0.44986,0.5,0.47361,0.89973,0.89973,0.89973
8,1,0.24324,0.12162,0.5,0.19565,0.24324,0.24324,0.24324
8,2,0.99945,0.5,0.49973,0.49986,0.99945,0.99945,0.99945
8,3,0.40261,0.56565,0.62745,0.38371,0.40261,0.40261,0.40261
8,4,0.99851,0.5,0.49925,0.49963,0.99851,0.99851,0.99851
8,5,0.8494,0.6687,0.50549,0.47234,0.8494,0.8494,0.8494
8,6,0.91699,0.45853,0.49996,0.47835,0.91699,0.91699,0.91699
8,7,0.72349,0.72088,0.55609,0.52947,0.72349,0.72349,0.72349
8,8,0.50314,0.74679,0.51829,0.36577,0.50314,0.50314,0.50314
