round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,1,0.98842,0.49421,0.5,0.49709,0.98842,0.98842,0.98842
1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,1,0.98842,0.49421,0.5,0.49709,0.98842,0.98842,0.98842
2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,1,0.98842,0.49421,0.5,0.49709,0.98842,0.98842,0.98842
3,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,1,0.98842,0.49421,0.5,0.49709,0.98842,0.98842,0.98842
4,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,1,0.98842,0.49421,0.5,0.49709,0.98842,0.98842,0.98842
5,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,1,0.98842,0.49421,0.5,0.49709,0.98842,0.98842,0.98842
6,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,1,0.98842,0.49421,0.5,0.49709,0.98842,0.98842,0.98842
7,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,1,0.98842,0.49421,0.5,0.49709,0.98842,0.98842,0.98842
8,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,1,0.98842,0.49421,0.5,0.49709,0.98842,0.98842,0.98842
9,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,1,0.98842,0.49421,0.5,0.49709,0.98842,0.98842,0.98842
10,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,1,0.98842,0.49421,0.5,0.49709,0.98842,0.98842,0.98842
11,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,1,0.98842,0.49421,0.5,0.49709,0.98842,0.98842,0.98842
12,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,1,0.98842,0.49421,0.5,0.49709,0.98842,0.98842,0.98842
13,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14,1,0.98842,0.49421,0.5,0.49709,0.98842,0.98842,0.98842
14,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,1,0.98842,0.49421,0.5,0.49709,0.98842,0.98842,0.98842
15,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,1,0.98842,0.49421,0.5,0.49709,0.98842,0.98842,0.98842
16,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17,1,0.98842,0.49421,0.5,0.49709,0.98842,0.98842,0.98842
17,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18,1,0.98842,0.49421,0.5,0.49709,0.98842,0.98842,0.98842
18,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,1,0.98842,0.49421,0.5,0.49709,0.98842,0.98842,0.98842
19,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,1,0.98842,0.49421,0.5,0.49709,0.98842,0.98842,0.98842
20,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21,1,0.98842,0.49421,0.5,0.49709,0.98842,0.98842,0.98842
21,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
22,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
22,1,0.98842,0.49421,0.5,0.49709,0.98842,0.98842,0.98842
22,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
23,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
23,1,0.98842,0.49421,0.5,0.49709,0.98842,0.98842,0.98842
23,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
24,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
24,1,0.98842,0.49421,0.5,0.49709,0.98842,0.98842,0.98842
24,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25,1,0.98842,0.49421,0.5,0.49709,0.98842,0.98842,0.98842
25,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
26,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
26,1,0.98842,0.49421,0.5,0.49709,0.98842,0.98842,0.98842
26,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
27,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
27,1,0.98842,0.49421,0.5,0.49709,0.98842,0.98842,0.98842
27,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
28,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
28,1,0.98842,0.49421,0.5,0.49709,0.98842,0.98842,0.98842
28,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
29,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
29,1,0.98842,0.49421,0.5,0.49709,0.98842,0.98842,0.98842
29,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
30,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
30,1,0.98842,0.49421,0.5,0.49709,0.98842,0.98842,0.98842
30,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
31,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
31,1,0.98842,0.49421,0.5,0.49709,0.98842,0.98842,0.98842
31,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
32,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
32,1,0.98842,0.49421,0.5,0.49709,0.98842,0.98842,0.98842
32,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
33,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
33,1,0.98842,0.49421,0.5,0.49709,0.98842,0.98842,0.98842
33,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
34,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
34,1,0.98842,0.49421,0.5,0.49709,0.98842,0.98842,0.98842
34,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
35,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
35,1,0.98842,0.49421,0.5,0.49709,0.98842,0.98842,0.98842
35,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
36,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
36,1,0.98842,0.49421,0.5,0.49709,0.98842,0.98842,0.98842
36,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
37,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
37,1,0.98842,0.49421,0.5,0.49709,0.98842,0.98842,0.98842
37,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
38,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
38,1,0.98842,0.49421,0.5,0.49709,0.98842,0.98842,0.98842
38,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
39,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
39,1,0.98842,0.49421,0.5,0.49709,0.98842,0.98842,0.98842
39,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
40,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
40,1,0.98842,0.49421,0.5,0.49709,0.98842,0.98842,0.98842
40,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
41,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
41,1,0.98842,0.49421,0.5,0.49709,0.98842,0.98842,0.98842
41,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
42,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
42,1,0.98842,0.49421,0.5,0.49709,0.98842,0.98842,0.98842
42,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
43,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
43,1,0.98842,0.49421,0.5,0.49709,0.98842,0.98842,0.98842
43,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
44,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
44,1,0.98842,0.49421,0.5,0.49709,0.98842,0.98842,0.98842
44,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
45,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
45,1,0.98842,0.49421,0.5,0.49709,0.98842,0.98842,0.98842
45,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
46,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
46,1,0.98842,0.49421,0.5,0.49709,0.98842,0.98842,0.98842
46,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
47,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
47,1,0.98842,0.49421,0.5,0.49709,0.98842,0.98842,0.98842
47,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
48,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
48,1,0.98842,0.49421,0.5,0.49709,0.98842,0.98842,0.98842
48,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
49,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
49,1,0.98842,0.49421,0.5,0.49709,0.98842,0.98842,0.98842
49,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
50,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
50,1,0.98842,0.49421,0.5,0.49709,0.98842,0.98842,0.98842
50,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
51,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
51,1,0.98842,0.49421,0.5,0.49709,0.98842,0.98842,0.98842
51,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
