round,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0.86063,0.65768,0.50057,0.46395,0.86063,0.86063,0.86063
2,0.86049,0.63958,0.50126,0.46572,0.86049,0.86049,0.86049
3,0.86041,0.6305,0.50139,0.46611,0.86041,0.86041,0.86041
4,0.86043,0.63767,0.50158,0.46653,0.86043,0.86043,0.86043
5,0.8604,0.62904,0.50144,0.46624,0.8604,0.8604,0.8604
6,0.86041,0.63342,0.50151,0.46639,0.86041,0.86041,0.86041
7,0.86047,0.64582,0.50172,0.46682,0.86047,0.86047,0.86047
8,0.8604,0.62904,0.50144,0.46624,0.8604,0.8604,0.8604
9,0.86051,0.65353,0.50186,0.46711,0.86051,0.86051,0.86051
10,0.86047,0.64582,0.50172,0.46682,0.86047,0.86047,0.86047
11,0.86038,0.62453,0.50137,0.4661,0.86038,0.86038,0.86038
12,0.8604,0.62904,0.50144,0.46624,0.8604,0.8604,0.8604
13,0.86038,0.62453,0.50137,0.4661,0.86038,0.86038,0.86038
14,0.86049,0.64973,0.50179,0.46696,0.86049,0.86049,0.86049
15,0.86038,0.62453,0.50137,0.4661,0.86038,0.86038,0.86038
16,0.8604,0.62904,0.50144,0.46624,0.8604,0.8604,0.8604
17,0.86041,0.63342,0.50151,0.46639,0.86041,0.86041,0.86041
18,0.86041,0.6305,0.50139,0.46611,0.86041,0.86041,0.86041
19,0.86045,0.6418,0.50165,0.46667,0.86045,0.86045,0.86045
20,0.86043,0.63767,0.50158,0.46653,0.86043,0.86043,0.86043
21,0.8604,0.62904,0.50144,0.46624,0.8604,0.8604,0.8604
22,0.8604,0.62747,0.50138,0.4661,0.8604,0.8604,0.8604
23,0.86038,0.62453,0.50137,0.4661,0.86038,0.86038,0.86038
24,0.8604,0.62904,0.50144,0.46624,0.8604,0.8604,0.8604
25,0.8604,0.62904,0.50144,0.46624,0.8604,0.8604,0.8604
