round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.75439,0.73565,0.5686,0.55789,0.75439,0.75439,0.75439
1,1,0.53333,0.26667,0.5,0.34783,0.53333,0.53333,0.53333
1,2,0.91525,0.45763,0.5,0.47788,0.91525,0.91525,0.91525
2,0,0.72807,0.62264,0.54042,0.52055,0.72807,0.72807,0.72807
2,1,0.46667,0.23333,0.5,0.31818,0.46667,0.46667,0.46667
2,2,0.91525,0.45763,0.5,0.47788,0.91525,0.91525,0.91525
3,0,0.72807,0.61607,0.5101,0.45082,0.72807,0.72807,0.72807
3,1,0.53333,0.75,0.5625,0.44444,0.53333,0.53333,0.53333
3,2,0.91525,0.45763,0.5,0.47788,0.91525,0.91525,0.91525
4,0,0.69298,0.62059,0.62748,0.62341,0.69298,0.69298,0.69298
4,1,0.53333,0.58333,0.55357,0.49761,0.53333,0.53333,0.53333
4,2,0.91525,0.45763,0.5,0.47788,0.91525,0.91525,0.91525
5,0,0.72807,0.61818,0.52021,0.47683,0.72807,0.72807,0.72807
5,1,0.53333,0.26667,0.5,0.34783,0.53333,0.53333,0.53333
5,2,0.91525,0.45763,0.5,0.47788,0.91525,0.91525,0.91525
6,0,0.67544,0.57299,0.5649,0.56725,0.67544,0.67544,0.67544
6,1,0.6,0.64773,0.61607,0.58333,0.6,0.6,0.6
6,2,0.90678,0.45726,0.49537,0.47556,0.90678,0.90678,0.90678
7,0,0.44737,0.61944,0.60027,0.44528,0.44737,0.44737,0.44737
7,1,0.53333,0.26667,0.5,0.34783,0.53333,0.53333,0.53333
7,2,0.91525,0.45763,0.5,0.47788,0.91525,0.91525,0.91525
8,0,0.73684,0.86726,0.51613,0.45472,0.73684,0.73684,0.73684
8,1,0.53333,0.52273,0.51786,0.49761,0.53333,0.53333,0.53333
8,2,0.91525,0.45763,0.5,0.47788,0.91525,0.91525,0.91525
9,0,0.72807,0.61607,0.5101,0.45082,0.72807,0.72807,0.72807
9,1,0.53333,0.26667,0.5,0.34783,0.53333,0.53333,0.53333
9,2,0.91525,0.45763,0.5,0.47788,0.91525,0.91525,0.91525
10,0,0.34211,0.59423,0.53809,0.319,0.34211,0.34211,0.34211
10,1,0.53333,0.58333,0.55357,0.49761,0.53333,0.53333,0.53333
10,2,0.91525,0.45763,0.5,0.47788,0.91525,0.91525,0.91525
11,0,0.27193,0.13596,0.5,0.21379,0.27193,0.27193,0.27193
11,1,0.53333,0.58333,0.55357,0.49761,0.53333,0.53333,0.53333
11,2,0.91525,0.45763,0.5,0.47788,0.91525,0.91525,0.91525
12,0,0.4386,0.63748,0.60435,0.43424,0.4386,0.4386,0.4386
12,1,0.6,0.76923,0.625,0.55,0.6,0.6,0.6
12,2,0.91525,0.45763,0.5,0.47788,0.91525,0.91525,0.91525
13,0,0.71053,0.58929,0.54858,0.54317,0.71053,0.71053,0.71053
13,1,0.53333,0.75,0.5625,0.44444,0.53333,0.53333,0.53333
13,2,0.91525,0.45763,0.5,0.47788,0.91525,0.91525,0.91525
14,0,0.64912,0.59908,0.61757,0.59986,0.64912,0.64912,0.64912
14,1,0.6,0.625,0.58036,0.55,0.6,0.6,0.6
14,2,0.91525,0.45763,0.5,0.47788,0.91525,0.91525,0.91525
15,0,0.72807,0.36404,0.5,0.42132,0.72807,0.72807,0.72807
15,1,0.6,0.64773,0.61607,0.58333,0.6,0.6,0.6
15,2,0.86017,0.55803,0.56065,0.55928,0.86017,0.86017,0.86017
16,0,0.68421,0.59513,0.59114,0.59286,0.68421,0.68421,0.68421
16,1,0.53333,0.75,0.5625,0.44444,0.53333,0.53333,0.53333
16,2,0.91525,0.45763,0.5,0.47788,0.91525,0.91525,0.91525
17,0,0.7193,0.62105,0.58492,0.59011,0.7193,0.7193,0.7193
17,1,0.53333,0.52273,0.51786,0.49761,0.53333,0.53333,0.53333
17,2,0.91102,0.45745,0.49769,0.47672,0.91102,0.91102,0.91102
18,0,0.69298,0.60952,0.60727,0.60832,0.69298,0.69298,0.69298
18,1,0.53333,0.26667,0.5,0.34783,0.53333,0.53333,0.53333
18,2,0.91102,0.45745,0.49769,0.47672,0.91102,0.91102,0.91102
19,0,0.66667,0.59241,0.5993,0.59484,0.66667,0.66667,0.66667
19,1,0.53333,0.58333,0.55357,0.49761,0.53333,0.53333,0.53333
19,2,0.91525,0.45763,0.5,0.47788,0.91525,0.91525,0.91525
20,0,0.69298,0.60952,0.60727,0.60832,0.69298,0.69298,0.69298
20,1,0.53333,0.52778,0.52679,0.52489,0.53333,0.53333,0.53333
20,2,0.16102,0.54587,0.54167,0.16096,0.16102,0.16102,0.16102
21,0,0.72807,0.61607,0.5101,0.45082,0.72807,0.72807,0.72807
21,1,0.46667,0.23333,0.5,0.31818,0.46667,0.46667,0.46667
21,2,0.91525,0.45763,0.5,0.47788,0.91525,0.91525,0.91525
22,0,0.46491,0.60922,0.60222,0.46454,0.46491,0.46491,0.46491
22,1,0.53333,0.58333,0.55357,0.49761,0.53333,0.53333,0.53333
22,2,0.90678,0.45726,0.49537,0.47556,0.90678,0.90678,0.90678
23,0,0.72807,0.36404,0.5,0.42132,0.72807,0.72807,0.72807
23,1,0.53333,0.75,0.5625,0.44444,0.53333,0.53333,0.53333
23,2,0.91525,0.45763,0.5,0.47788,0.91525,0.91525,0.91525
24,0,0.72807,0.61607,0.5101,0.45082,0.72807,0.72807,0.72807
24,1,0.46667,0.45,0.45536,0.44444,0.46667,0.46667,0.46667
24,2,0.58051,0.56303,0.70278,0.4818,0.58051,0.58051,0.58051
25,0,0.72807,0.36404,0.5,0.42132,0.72807,0.72807,0.72807
25,1,0.6,0.78571,0.57143,0.48864,0.6,0.6,0.6
25,2,0.91525,0.45763,0.5,0.47788,0.91525,0.91525,0.91525
26,0,0.72807,0.36404,0.5,0.42132,0.72807,0.72807,0.72807
26,1,0.6,0.78571,0.57143,0.48864,0.6,0.6,0.6
26,2,0.91525,0.45763,0.5,0.47788,0.91525,0.91525,0.91525
27,0,0.70175,0.60201,0.58298,0.58748,0.70175,0.70175,0.70175
27,1,0.53333,0.58333,0.55357,0.49761,0.53333,0.53333,0.53333
