round,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0.86067,0.43034,0.5,0.46256,0.86067,0.86067,0.86067
2,0.86067,0.43034,0.5,0.46256,0.86067,0.86067,0.86067
3,0.86059,0.43033,0.49995,0.46254,0.86059,0.86059,0.86059
4,0.86059,0.43033,0.49995,0.46254,0.86059,0.86059,0.86059
5,0.86063,0.43033,0.49998,0.46255,0.86063,0.86063,0.86063
6,0.86065,0.43033,0.49999,0.46255,0.86065,0.86065,0.86065
7,0.86067,0.43034,0.5,0.46256,0.86067,0.86067,0.86067
8,0.86067,0.43034,0.5,0.46256,0.86067,0.86067,0.86067
9,0.86067,0.43034,0.5,0.46256,0.86067,0.86067,0.86067
10,0.86067,0.43034,0.5,0.46256,0.86067,0.86067,0.86067
11,0.86067,0.43034,0.5,0.46256,0.86067,0.86067,0.86067
12,0.86067,0.43034,0.5,0.46256,0.86067,0.86067,0.86067
13,0.86067,0.43034,0.5,0.46256,0.86067,0.86067,0.86067
14,0.86067,0.43034,0.5,0.46256,0.86067,0.86067,0.86067
15,0.86067,0.43034,0.5,0.46256,0.86067,0.86067,0.86067
16,0.86067,0.43034,0.5,0.46256,0.86067,0.86067,0.86067
17,0.86067,0.43034,0.5,0.46256,0.86067,0.86067,0.86067
18,0.86067,0.43034,0.5,0.46256,0.86067,0.86067,0.86067
19,0.86067,0.43034,0.5,0.46256,0.86067,0.86067,0.86067
20,0.86067,0.43034,0.5,0.46256,0.86067,0.86067,0.86067
21,0.86067,0.43034,0.5,0.46256,0.86067,0.86067,0.86067
22,0.86067,0.43034,0.5,0.46256,0.86067,0.86067,0.86067
23,0.86067,0.43034,0.5,0.46256,0.86067,0.86067,0.86067
24,0.86067,0.43034,0.5,0.46256,0.86067,0.86067,0.86067
25,0.86067,0.43034,0.5,0.46256,0.86067,0.86067,0.86067
