round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.50538,0.59322,0.68408,0.4736,0.50538,0.50538,0.50538
1,1,0.14002,0.53311,0.50022,0.12319,0.14002,0.14002,0.14002
1,2,0.86067,0.43034,0.5,0.46256,0.86067,0.86067,0.86067
1,3,0.86067,0.43034,0.5,0.46256,0.86067,0.86067,0.86067
1,4,0.83237,0.64659,0.64089,0.64363,0.83237,0.83237,0.83237
1,5,0.86067,0.43034,0.5,0.46256,0.86067,0.86067,0.86067
1,6,0.86347,0.72852,0.52943,0.52263,0.86347,0.86347,0.86347
1,7,0.82831,0.65442,0.67297,0.66262,0.82831,0.82831,0.82831
1,8,0.13933,0.06966,0.5,0.12229,0.13933,0.13933,0.13933
1,9,0.86067,0.43034,0.5,0.46256,0.86067,0.86067,0.86067
2,0,0.59758,0.60646,0.72182,0.54197,0.59758,0.59758,0.59758
2,1,0.80645,0.6385,0.68227,0.65357,0.80645,0.80645,0.80645
2,2,0.86067,0.43034,0.5,0.46256,0.86067,0.86067,0.86067
2,3,0.86067,0.43034,0.5,0.46256,0.86067,0.86067,0.86067
2,4,0.79969,0.64545,0.71172,0.66409,0.79969,0.79969,0.79969
2,5,0.86067,0.43034,0.5,0.46256,0.86067,0.86067,0.86067
2,6,0.86404,0.72611,0.53782,0.53768,0.86404,0.86404,0.86404
2,7,0.81873,0.65361,0.69586,0.66923,0.81873,0.81873,0.81873
2,8,0.57314,0.60171,0.71076,0.52379,0.57314,0.57314,0.57314
2,9,0.86067,0.43034,0.5,0.46256,0.86067,0.86067,0.86067
3,0,0.59303,0.60644,0.7216,0.53902,0.59303,0.59303,0.59303
3,1,0.73003,0.62506,0.73261,0.62737,0.73003,0.73003,0.73003
3,2,0.86067,0.43034,0.5,0.46256,0.86067,0.86067,0.86067
3,3,0.86067,0.43034,0.5,0.46256,0.86067,0.86067,0.86067
3,4,0.8001,0.64749,0.7164,0.66659,0.8001,0.8001,0.8001
