round,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
2,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
3,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
4,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
5,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
6,0.82675,0.63598,0.56978,0.58177,0.82675,0.82675,0.82675
7,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
8,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
9,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
10,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
11,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
12,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
13,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
14,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
15,0.8443,0.71734,0.54142,0.53943,0.8443,0.8443,0.8443
16,0.83991,0.67299,0.52218,0.50546,0.83991,0.83991,0.83991
17,0.83991,0.67455,0.53326,0.52645,0.83991,0.83991,0.83991
18,0.82237,0.62009,0.56163,0.57118,0.82237,0.82237,0.82237
19,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
20,0.46272,0.57406,0.62472,0.44338,0.46272,0.46272,0.46272
21,0.83772,0.41978,0.49869,0.45585,0.83772,0.83772,0.83772
22,0.82895,0.62691,0.54891,0.55413,0.82895,0.82895,0.82895
23,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
24,0.78728,0.63121,0.65716,0.64113,0.78728,0.78728,0.78728
25,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
26,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
27,0.82675,0.65038,0.5975,0.61271,0.82675,0.82675,0.82675
28,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
29,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
30,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
31,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
32,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
33,0.84211,0.75497,0.51239,0.48325,0.84211,0.84211,0.84211
34,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
35,0.83114,0.64917,0.57239,0.58563,0.83114,0.83114,0.83114
36,0.67763,0.6029,0.68059,0.5919,0.67763,0.67763,0.67763
37,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
38,0.80044,0.6276,0.62618,0.62688,0.80044,0.80044,0.80044
39,0.69956,0.59431,0.65483,0.59341,0.69956,0.69956,0.69956
40,0.83772,0.41978,0.49869,0.45585,0.83772,0.83772,0.83772
41,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
42,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
43,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
44,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
45,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
46,0.84211,0.69745,0.53457,0.52795,0.84211,0.84211,0.84211
47,0.83991,0.6707,0.50554,0.46973,0.83991,0.83991,0.83991
48,0.6864,0.60685,0.68581,0.59889,0.6864,0.6864,0.6864
49,0.77632,0.63353,0.67835,0.64699,0.77632,0.77632,0.77632
50,0.83991,0.67377,0.52772,0.51621,0.83991,0.83991,0.83991
