round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.83991,0.67299,0.52218,0.50546,0.83991,0.83991,0.83991
1,1,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
1,2,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
2,0,0.83991,0.67534,0.53881,0.53622,0.83991,0.83991,0.83991
2,1,0.16009,0.08004,0.5,0.138,0.16009,0.16009,0.16009
2,2,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
3,0,0.83991,0.6707,0.50554,0.46973,0.83991,0.83991,0.83991
3,1,0.19079,0.58258,0.51828,0.17701,0.19079,0.19079,0.19079
3,2,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
4,0,0.75,0.61342,0.66268,0.62396,0.75,0.75,0.75
4,1,0.26535,0.55929,0.54603,0.26407,0.26535,0.26535,0.26535
4,2,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
5,0,0.83991,0.6707,0.50554,0.46973,0.83991,0.83991,0.83991
5,1,0.83991,0.67299,0.52218,0.50546,0.83991,0.83991,0.83991
5,2,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
6,0,0.79605,0.60682,0.59585,0.60058,0.79605,0.79605,0.79605
6,1,0.63596,0.57734,0.63915,0.55347,0.63596,0.63596,0.63596
6,2,0.83991,0.67377,0.52772,0.51621,0.83991,0.83991,0.83991
7,0,0.34211,0.56678,0.58064,0.34084,0.34211,0.34211,0.34211
7,1,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
7,2,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
8,0,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
8,1,0.83333,0.65639,0.5737,0.58759,0.83333,0.83333,0.83333
8,2,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
9,0,0.83991,0.6707,0.50554,0.46973,0.83991,0.83991,0.83991
9,1,0.83991,0.6707,0.50554,0.46973,0.83991,0.83991,0.83991
9,2,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
10,0,0.23026,0.5706,0.53623,0.22459,0.23026,0.23026,0.23026
10,1,0.4693,0.57944,0.63418,0.44973,0.4693,0.4693,0.4693
10,2,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
11,0,0.16009,0.08004,0.5,0.138,0.16009,0.16009,0.16009
11,1,0.32895,0.56341,0.5728,0.32831,0.32895,0.32895,0.32895
11,2,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
12,0,0.31798,0.55434,0.56073,0.31759,0.31798,0.31798,0.31798
12,1,0.19518,0.58295,0.52089,0.1824,0.19518,0.19518,0.19518
12,2,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
13,0,0.82237,0.61557,0.55608,0.5641,0.82237,0.82237,0.82237
13,1,0.16447,0.5804,0.50261,0.14371,0.16447,0.16447,0.16447
13,2,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
14,0,0.67544,0.58548,0.64602,0.57697,0.67544,0.67544,0.67544
14,1,0.83772,0.66362,0.54859,0.5527,0.83772,0.83772,0.83772
14,2,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
15,0,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
15,1,0.5614,0.58413,0.65575,0.51576,0.5614,0.5614,0.5614
