round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
1,1,0.83553,0.62265,0.51956,0.50296,0.83553,0.83553,0.83553
1,2,0.375,0.56955,0.59467,0.37086,0.375,0.375,0.375
2,0,0.44298,0.57295,0.61851,0.42792,0.44298,0.44298,0.44298
2,1,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
2,2,0.36404,0.56185,0.5826,0.36048,0.36404,0.36404,0.36404
3,0,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
3,1,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
3,2,0.8443,0.71218,0.54696,0.54892,0.8443,0.8443,0.8443
4,0,0.80921,0.61586,0.58706,0.59673,0.80921,0.80921,0.80921
4,1,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
4,2,0.16009,0.08004,0.5,0.138,0.16009,0.16009,0.16009
5,0,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
5,1,0.8443,0.71734,0.54142,0.53943,0.8443,0.8443,0.8443
5,2,0.73904,0.58918,0.62289,0.59654,0.73904,0.73904,0.73904
6,0,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
6,1,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
6,2,0.16009,0.08004,0.5,0.138,0.16009,0.16009,0.16009
7,0,0.69956,0.59704,0.66038,0.59585,0.69956,0.69956,0.69956
7,1,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
7,2,0.26974,0.56979,0.55419,0.26847,0.26974,0.26974,0.26974
8,0,0.66667,0.58713,0.65188,0.57475,0.66667,0.66667,0.66667
8,1,0.7807,0.63,0.66433,0.64173,0.7807,0.7807,0.7807
8,2,0.20175,0.55895,0.51926,0.19124,0.20175,0.20175,0.20175
9,0,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
9,1,0.20614,0.5614,0.52187,0.19648,0.20614,0.20614,0.20614
9,2,0.16009,0.08004,0.5,0.138,0.16009,0.16009,0.16009
10,0,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
10,1,0.70395,0.60197,0.66853,0.60175,0.70395,0.70395,0.70395
10,2,0.16009,0.08004,0.5,0.138,0.16009,0.16009,0.16009
11,0,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
11,1,0.29825,0.56144,0.56007,0.29823,0.29825,0.29825,0.29825
11,2,0.29825,0.54793,0.54898,0.29823,0.29825,0.29825,0.29825
12,0,0.30702,0.56388,0.56529,0.307,0.30702,0.30702,0.30702
12,1,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
12,2,0.16009,0.08004,0.5,0.138,0.16009,0.16009,0.16009
13,0,0.78947,0.62835,0.64738,0.63617,0.78947,0.78947,0.78947
13,1,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
13,2,0.16886,0.49667,0.49968,0.15052,0.16886,0.16886,0.16886
14,0,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
14,1,0.8443,0.73661,0.53033,0.51901,0.8443,0.8443,0.8443
14,2,0.74123,0.61015,0.66301,0.61939,0.74123,0.74123,0.74123
15,0,0.78947,0.56955,0.55313,0.55798,0.78947,0.78947,0.78947
15,1,0.82018,0.62276,0.57141,0.58268,0.82018,0.82018,0.82018
15,2,0.25877,0.56682,0.54766,0.25671,0.25877,0.25877,0.25877
16,0,0.44737,0.57017,0.61558,0.43071,0.44737,0.44737,0.44737
16,1,0.83333,0.65388,0.56815,0.58054,0.83333,0.83333,0.83333
16,2,0.17105,0.50875,0.50098,0.15332,0.17105,0.17105,0.17105
17,0,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
17,1,0.5636,0.57562,0.64042,0.51299,0.5636,0.5636,0.5636
17,2,0.6864,0.60417,0.68026,0.59676,0.6864,0.6864,0.6864
