round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.86842,0.43421,0.5,0.46479,0.86842,0.86842,0.86842
1,1,0.88387,0.44194,0.5,0.46918,0.88387,0.88387,0.88387
1,2,0.75,0.375,0.5,0.42857,0.75,0.75,0.75
2,0,0.86842,0.43421,0.5,0.46479,0.86842,0.86842,0.86842
2,1,0.88387,0.44194,0.5,0.46918,0.88387,0.88387,0.88387
2,2,0.75,0.375,0.5,0.42857,0.75,0.75,0.75
3,0,0.86842,0.43421,0.5,0.46479,0.86842,0.86842,0.86842
3,1,0.88387,0.44194,0.5,0.46918,0.88387,0.88387,0.88387
3,2,0.75,0.375,0.5,0.42857,0.75,0.75,0.75
4,0,0.86842,0.43421,0.5,0.46479,0.86842,0.86842,0.86842
4,1,0.88387,0.44194,0.5,0.46918,0.88387,0.88387,0.88387
4,2,0.75,0.375,0.5,0.42857,0.75,0.75,0.75
5,0,0.86842,0.43421,0.5,0.46479,0.86842,0.86842,0.86842
5,1,0.88387,0.44194,0.5,0.46918,0.88387,0.88387,0.88387
5,2,0.75,0.375,0.5,0.42857,0.75,0.75,0.75
6,0,0.86842,0.43421,0.5,0.46479,0.86842,0.86842,0.86842
6,1,0.88387,0.44194,0.5,0.46918,0.88387,0.88387,0.88387
6,2,0.75,0.375,0.5,0.42857,0.75,0.75,0.75
7,0,0.86842,0.43421,0.5,0.46479,0.86842,0.86842,0.86842
7,1,0.88387,0.44194,0.5,0.46918,0.88387,0.88387,0.88387
7,2,0.75,0.375,0.5,0.42857,0.75,0.75,0.75
8,0,0.86842,0.43421,0.5,0.46479,0.86842,0.86842,0.86842
8,1,0.88387,0.44194,0.5,0.46918,0.88387,0.88387,0.88387
8,2,0.75,0.375,0.5,0.42857,0.75,0.75,0.75
9,0,0.86842,0.43421,0.5,0.46479,0.86842,0.86842,0.86842
9,1,0.88387,0.44194,0.5,0.46918,0.88387,0.88387,0.88387
9,2,0.75,0.375,0.5,0.42857,0.75,0.75,0.75
10,0,0.86842,0.43421,0.5,0.46479,0.86842,0.86842,0.86842
10,1,0.88387,0.44194,0.5,0.46918,0.88387,0.88387,0.88387
10,2,0.75,0.375,0.5,0.42857,0.75,0.75,0.75
11,0,0.86842,0.43421,0.5,0.46479,0.86842,0.86842,0.86842
11,1,0.88387,0.44194,0.5,0.46918,0.88387,0.88387,0.88387
11,2,0.75,0.375,0.5,0.42857,0.75,0.75,0.75
12,0,0.86842,0.43421,0.5,0.46479,0.86842,0.86842,0.86842
12,1,0.88387,0.44194,0.5,0.46918,0.88387,0.88387,0.88387
12,2,0.75,0.375,0.5,0.42857,0.75,0.75,0.75
13,0,0.86842,0.43421,0.5,0.46479,0.86842,0.86842,0.86842
13,1,0.88387,0.44194,0.5,0.46918,0.88387,0.88387,0.88387
13,2,0.75,0.375,0.5,0.42857,0.75,0.75,0.75
14,0,0.86842,0.43421,0.5,0.46479,0.86842,0.86842,0.86842
14,1,0.88387,0.44194,0.5,0.46918,0.88387,0.88387,0.88387
14,2,0.75,0.375,0.5,0.42857,0.75,0.75,0.75
15,0,0.86842,0.43421,0.5,0.46479,0.86842,0.86842,0.86842
15,1,0.88387,0.44194,0.5,0.46918,0.88387,0.88387,0.88387
15,2,0.75,0.375,0.5,0.42857,0.75,0.75,0.75
16,0,0.86842,0.43421,0.5,0.46479,0.86842,0.86842,0.86842
16,1,0.88387,0.44194,0.5,0.46918,0.88387,0.88387,0.88387
16,2,0.75,0.375,0.5,0.42857,0.75,0.75,0.75
17,0,0.86842,0.43421,0.5,0.46479,0.86842,0.86842,0.86842
17,1,0.88387,0.44194,0.5,0.46918,0.88387,0.88387,0.88387
17,2,0.75,0.375,0.5,0.42857,0.75,0.75,0.75
