round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.8614,0.6955,0.5239,0.51307,0.8614,0.8614,0.8614
1,1,0.86087,0.70624,0.50332,0.47011,0.86087,0.86087,0.86087
1,2,0.86087,0.69621,0.50527,0.47458,0.86087,0.86087,0.86087
1,3,0.86067,0.43034,0.5,0.46256,0.86067,0.86067,0.86067
1,4,0.86067,0.43034,0.5,0.46256,0.86067,0.86067,0.86067
1,5,0.86112,0.69817,0.51129,0.48762,0.86112,0.86112,0.86112
1,6,0.86067,0.68034,0.50006,0.4627,0.86067,0.86067,0.86067
1,7,0.86162,0.71015,0.51466,0.49439,0.86162,0.86162,0.86162
1,8,0.86132,0.70251,0.51324,0.49162,0.86132,0.86132,0.86132
1,9,0.86073,0.69795,0.5014,0.46579,0.86073,0.86073,0.86073
2,0,0.86114,0.69162,0.56904,0.58562,0.86114,0.86114,0.86114
2,1,0.86325,0.71711,0.53529,0.53342,0.86325,0.86325,0.86325
2,2,0.86304,0.70928,0.5424,0.54574,0.86304,0.86304,0.86304
2,3,0.86156,0.7378,0.50775,0.47951,0.86156,0.86156,0.86156
2,4,0.86193,0.74266,0.5104,0.48503,0.86193,0.86193,0.86193
2,5,0.86203,0.69725,0.55118,0.55997,0.86203,0.86203,0.86203
2,6,0.8629,0.73129,0.52198,0.50853,0.8629,0.8629,0.8629
2,7,0.86333,0.71073,0.54601,0.55166,0.86333,0.86333,0.86333
2,8,0.86266,0.70228,0.55273,0.56235,0.86266,0.86266,0.86266
2,9,0.86294,0.73756,0.52029,0.5051,0.86294,0.86294,0.86294
3,0,0.86059,0.68977,0.57761,0.59662,0.86059,0.86059,0.86059
3,1,0.8639,0.72155,0.54023,0.5419,0.8639,0.8639,0.8639
3,2,0.86384,0.71319,0.5517,0.56072,0.86384,0.86384,0.86384
3,3,0.86201,0.75066,0.51009,0.48429,0.86201,0.86201,0.86201
3,4,0.86266,0.72449,0.5222,0.50909,0.86266,0.86266,0.86266
3,5,0.86231,0.69861,0.56124,0.57497,0.86231,0.86231,0.86231
3,6,0.86317,0.72916,0.52582,0.5159,0.86317,0.86317,0.86317
3,7,0.86396,0.71596,0.54863,0.55584,0.86396,0.86396,0.86396
3,8,0.86264,0.70115,0.55924,0.5721,0.86264,0.86264,0.86264
3,9,0.86329,0.72384,0.53021,0.52417,0.86329,0.86329,0.86329
4,0,0.86051,0.69021,0.58338,0.60368,0.86051,0.86051,0.86051
4,1,0.86438,0.7192,0.55041,0.55865,0.86438,0.86438,0.86438
4,2,0.86313,0.70479,0.55941,0.57238,0.86313,0.86313,0.86313
4,3,0.86262,0.7526,0.51447,0.49327,0.86262,0.86262,0.86262
4,4,0.86308,0.73035,0.52422,0.51284,0.86308,0.86308,0.86308
4,5,0.86296,0.70282,0.56417,0.57921,0.86296,0.86296,0.86296
4,6,0.86319,0.73115,0.52512,0.51453,0.86319,0.86319,0.86319
4,7,0.86404,0.71277,0.55697,0.56881,0.86404,0.86404,0.86404
4,8,0.86268,0.70133,0.56021,0.57352,0.86268,0.86268,0.86268
4,9,0.86335,0.72631,0.52936,0.52255,0.86335,0.86335,0.86335
5,0,0.86032,0.69026,0.58943,0.61075,0.86032,0.86032,0.86032
5,1,0.86424,0.71661,0.55246,0.5619,0.86424,0.86424,0.86424
