round,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0.86278,0.70212,0.55962,0.57266,0.86278,0.86278,0.86278
2,0.86239,0.69906,0.56283,0.57724,0.86239,0.86239,0.86239
3,0.86244,0.69928,0.56642,0.58228,0.86244,0.86244,0.86244
4,0.86219,0.69768,0.56591,0.58154,0.86219,0.86219,0.86219
5,0.86207,0.69694,0.56579,0.58134,0.86207,0.86207,0.86207
6,0.86217,0.69754,0.56703,0.58307,0.86217,0.86217,0.86217
7,0.86201,0.69657,0.56599,0.58162,0.86201,0.86201,0.86201
8,0.86221,0.69778,0.56758,0.58384,0.86221,0.86221,0.86221
9,0.86197,0.69635,0.56798,0.58434,0.86197,0.86197,0.86197
10,0.86217,0.69754,0.56673,0.58266,0.86217,0.86217,0.86217
11,0.86195,0.69623,0.56797,0.58432,0.86195,0.86195,0.86195
12,0.86209,0.69707,0.56497,0.58021,0.86209,0.86209,0.86209
13,0.86215,0.69742,0.56737,0.58354,0.86215,0.86215,0.86215
14,0.86205,0.69681,0.56637,0.58214,0.86205,0.86205,0.86205
15,0.86203,0.69669,0.56535,0.58073,0.86203,0.86203,0.86203
16,0.86213,0.69731,0.56594,0.58156,0.86213,0.86213,0.86213
17,0.86207,0.69694,0.56721,0.5833,0.86207,0.86207,0.86207
18,0.86207,0.69694,0.56679,0.58273,0.86207,0.86207,0.86207
19,0.86203,0.69669,0.566,0.58163,0.86203,0.86203,0.86203
20,0.86211,0.69718,0.56735,0.5835,0.86211,0.86211,0.86211
21,0.86207,0.69694,0.56709,0.58314,0.86207,0.86207,0.86207
22,0.86203,0.6967,0.5679,0.58424,0.86203,0.86203,0.86203
23,0.86223,0.6979,0.5676,0.58386,0.86223,0.86223,0.86223
24,0.86211,0.69718,0.56599,0.58163,0.86211,0.86211,0.86211
25,0.86201,0.69657,0.5667,0.58259,0.86201,0.86201,0.86201
