round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.86018,0.68864,0.58277,0.60284,0.86018,0.86018,0.86018
1,1,0.86246,0.69988,0.55908,0.57185,0.86246,0.86246,0.86246
1,2,0.8627,0.701,0.5652,0.58063,0.8627,0.8627,0.8627
1,3,0.86274,0.70969,0.53541,0.53378,0.86274,0.86274,0.86274
1,4,0.86278,0.70477,0.54693,0.55322,0.86278,0.86278,0.86278
1,5,0.86175,0.69528,0.57289,0.59086,0.86175,0.86175,0.86175
1,6,0.86217,0.69812,0.55387,0.56409,0.86217,0.86217,0.86217
1,7,0.86217,0.69758,0.57343,0.59165,0.86217,0.86217,0.86217
1,8,0.86146,0.6934,0.56905,0.58569,0.86146,0.86146,0.86146
1,9,0.86296,0.70717,0.5452,0.55038,0.86296,0.86296,0.86296
2,0,0.86075,0.6913,0.58357,0.604,0.86075,0.86075,0.86075
2,1,0.86207,0.69695,0.56353,0.5782,0.86207,0.86207,0.86207
2,2,0.86203,0.69687,0.57507,0.59375,0.86203,0.86203,0.86203
2,3,0.86288,0.71059,0.53685,0.53628,0.86288,0.86288,0.86288
2,4,0.86229,0.69969,0.54913,0.55677,0.86229,0.86229,0.86229
2,5,0.86203,0.69691,0.57614,0.59513,0.86203,0.86203,0.86203
2,6,0.86221,0.69831,0.55514,0.566,0.86221,0.86221,0.86221
2,7,0.86168,0.69509,0.57688,0.59598,0.86168,0.86168,0.86168
2,8,0.8614,0.69344,0.57393,0.59213,0.8614,0.8614,0.8614
2,9,0.8626,0.7023,0.55009,0.55825,0.8626,0.8626,0.8626
3,0,0.85998,0.68874,0.58852,0.60958,0.85998,0.85998,0.85998
3,1,0.86128,0.69254,0.57078,0.58797,0.86128,0.86128,0.86128
3,2,0.86187,0.69597,0.57385,0.59214,0.86187,0.86187,0.86187
3,3,0.86268,0.7062,0.54035,0.54236,0.86268,0.86268,0.86268
3,4,0.86233,0.69941,0.55348,0.56351,0.86233,0.86233,0.86233
3,5,0.86154,0.69455,0.57911,0.59876,0.86154,0.86154,0.86154
3,6,0.86199,0.6966,0.55649,0.56802,0.86199,0.86199,0.86199
3,7,0.86122,0.69323,0.58136,0.60145,0.86122,0.86122,0.86122
3,8,0.86079,0.69061,0.57672,0.59554,0.86079,0.86079,0.86079
3,9,0.86264,0.7024,0.55124,0.56004,0.86264,0.86264,0.86264
4,0,0.85955,0.68778,0.59283,0.61433,0.85955,0.85955,0.85955
4,1,0.86175,0.6951,0.56898,0.58566,0.86175,0.86175,0.86175
4,2,0.86181,0.69576,0.57607,0.59499,0.86181,0.86181,0.86181
4,3,0.86252,0.70417,0.54091,0.54334,0.86252,0.86252,0.86252
4,4,0.86246,0.70062,0.55285,0.56254,0.86246,0.86246,0.86246
4,5,0.86177,0.69571,0.57866,0.59826,0.86177,0.86177,0.86177
4,6,0.86187,0.69572,0.55702,0.56879,0.86187,0.86187,0.86187
4,7,0.86112,0.69199,0.57395,0.59208,0.86112,0.86112,0.86112
4,8,0.86055,0.68999,0.58055,0.60026,0.86055,0.86055,0.86055
4,9,0.86272,0.70338,0.54998,0.55807,0.86272,0.86272,0.86272
5,0,0.85941,0.68715,0.59228,0.61365,0.85941,0.85941,0.85941
5,1,0.86085,0.69033,0.57201,0.5895,0.86085,0.86085,0.86085
5,2,0.86217,0.69756,0.57159,0.58923,0.86217,0.86217,0.86217
5,3,0.8625,0.70556,0.53717,0.53693,0.8625,0.8625,0.8625
5,4,0.86205,0.69727,0.55285,0.56254,0.86205,0.86205,0.86205
5,5,0.86172,0.69534,0.57755,0.59685,0.86172,0.86172,0.86172
5,6,0.86201,0.69672,0.55715,0.569,0.86201,0.86201,0.86201
5,7,0.86095,0.69141,0.57693,0.59585,0.86095,0.86095,0.86095
5,8,0.86024,0.68906,0.58381,0.60411,0.86024,0.86024,0.86024
5,9,0.86262,0.70324,0.54696,0.55328,0.86262,0.86262,0.86262
6,0,0.86061,0.69122,0.58746,0.60858,0.86061,0.86061,0.86061
6,1,0.86083,0.69042,0.57354,0.59148,0.86083,0.86083,0.86083
6,2,0.86177,0.69541,0.57344,0.59157,0.86177,0.86177,0.86177
6,3,0.86254,0.70486,0.53974,0.54135,0.86254,0.86254,0.86254
6,4,0.86225,0.69861,0.55522,0.56613,0.86225,0.86225,0.86225
6,5,0.86099,0.69212,0.5814,0.60143,0.86099,0.86099,0.86099
6,6,0.86193,0.69618,0.55604,0.56735,0.86193,0.86193,0.86193
6,7,0.86118,0.69312,0.58211,0.60236,0.86118,0.86118,0.86118
6,8,0.86077,0.69088,0.57961,0.59916,0.86077,0.86077,0.86077
6,9,0.86268,0.70323,0.54913,0.55673,0.86268,0.86268,0.86268
