round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.85127,0.70659,0.58852,0.6093,0.85127,0.85127,0.85127
1,1,0.85262,0.7141,0.55862,0.56896,0.85262,0.85262,0.85262
1,2,0.86,0.70839,0.56446,0.57904,0.86,0.86,0.86
1,3,0.88996,0.67952,0.52681,0.52574,0.88996,0.88996,0.88996
1,4,0.87579,0.68522,0.54335,0.55069,0.87579,0.87579,0.87579
1,5,0.85123,0.72756,0.57361,0.59004,0.85123,0.85123,0.85123
1,6,0.87954,0.73311,0.56048,0.57684,0.87954,0.87954,0.87954
1,7,0.85615,0.70374,0.57878,0.59776,0.85615,0.85615,0.85615
1,8,0.84419,0.72675,0.57898,0.59605,0.84419,0.84419,0.84419
1,9,0.87588,0.68942,0.5464,0.55542,0.87588,0.87588,0.87588
2,0,0.85015,0.70167,0.58489,0.60454,0.85015,0.85015,0.85015
2,1,0.85262,0.71195,0.56333,0.57597,0.85262,0.85262,0.85262
2,2,0.85778,0.69418,0.57536,0.59346,0.85778,0.85778,0.85778
2,3,0.88886,0.66339,0.5262,0.52495,0.88886,0.88886,0.88886
2,4,0.87715,0.69875,0.54413,0.55186,0.87715,0.87715,0.87715
2,5,0.85203,0.73297,0.57408,0.5908,0.85203,0.85203,0.85203
2,6,0.87853,0.72466,0.55732,0.57202,0.87853,0.87853,0.87853
2,7,0.85546,0.70002,0.58097,0.60038,0.85546,0.85546,0.85546
2,8,0.84395,0.72389,0.58125,0.59906,0.84395,0.84395,0.84395
2,9,0.87652,0.69587,0.55343,0.56614,0.87652,0.87652,0.87652
3,0,0.85239,0.71077,0.59588,0.6184,0.85239,0.85239,0.85239
3,1,0.85262,0.70946,0.57073,0.58648,0.85262,0.85262,0.85262
3,2,0.85852,0.69807,0.57579,0.59419,0.85852,0.85852,0.85852
3,3,0.88996,0.68336,0.53301,0.53649,0.88996,0.88996,0.88996
3,4,0.87715,0.69879,0.55175,0.5637,0.87715,0.87715,0.87715
3,5,0.85282,0.73479,0.57936,0.59817,0.85282,0.85282,0.85282
3,6,0.87928,0.73116,0.55948,0.57532,0.87928,0.87928,0.87928
3,7,0.85476,0.69676,0.58642,0.60688,0.85476,0.85476,0.85476
3,8,0.8432,0.71814,0.58443,0.60309,0.8432,0.8432,0.8432
3,9,0.87609,0.69249,0.55393,0.56683,0.87609,0.87609,0.87609
4,0,0.85267,0.7113,0.60125,0.62463,0.85267,0.85267,0.85267
4,1,0.85312,0.71325,0.569,0.58414,0.85312,0.85312,0.85312
4,2,0.85753,0.69311,0.57809,0.59688,0.85753,0.85753,0.85753
4,3,0.8893,0.67495,0.53264,0.53596,0.8893,0.8893,0.8893
4,4,0.87661,0.69382,0.54953,0.56031,0.87661,0.87661,0.87661
4,5,0.85256,0.73403,0.57783,0.59605,0.85256,0.85256,0.85256
4,6,0.87903,0.72685,0.56279,0.5801,0.87903,0.87903,0.87903
4,7,0.85476,0.69659,0.57861,0.59722,0.85476,0.85476,0.85476
4,8,0.84295,0.71597,0.5867,0.60594,0.84295,0.84295,0.84295
4,9,0.87673,0.6977,0.55429,0.56743,0.87673,0.87673,0.87673
5,0,0.85267,0.7113,0.60125,0.62463,0.85267,0.85267,0.85267
5,1,0.85237,0.70716,0.57394,0.59082,0.85237,0.85237,0.85237
5,2,0.8605,0.70941,0.5748,0.59333,0.8605,0.8605,0.8605
5,3,0.88952,0.67508,0.52922,0.53008,0.88952,0.88952,0.88952
5,4,0.87606,0.68907,0.54922,0.55982,0.87606,0.87606,0.87606
5,5,0.85229,0.73376,0.57561,0.59296,0.85229,0.85229,0.85229
5,6,0.87878,0.72578,0.56005,0.57609,0.87878,0.87878,0.87878
5,7,0.85476,0.69665,0.58251,0.60212,0.85476,0.85476,0.85476
5,8,0.84045,0.70396,0.58641,0.60504,0.84045,0.84045,0.84045
5,9,0.87695,0.69945,0.54997,0.56095,0.87695,0.87695,0.87695
6,0,0.85239,0.71099,0.59439,0.61666,0.85239,0.85239,0.85239
6,1,0.85287,0.70938,0.57693,0.59489,0.85287,0.85287,0.85287
6,2,0.86,0.70604,0.5781,0.59752,0.86,0.86,0.86
6,3,0.88908,0.67079,0.53074,0.53279,0.88908,0.88908,0.88908
6,4,0.87661,0.69415,0.55239,0.56463,0.87661,0.87661,0.87661
6,5,0.85256,0.73173,0.58127,0.60066,0.85256,0.85256,0.85256
6,6,0.87878,0.72578,0.56005,0.57609,0.87878,0.87878,0.87878
6,7,0.85476,0.69683,0.58837,0.60921,0.85476,0.85476,0.85476
6,8,0.8427,0.71455,0.58715,0.60646,0.8427,0.8427,0.8427
6,9,0.87631,0.69411,0.55331,0.56594,0.87631,0.87631,0.87631
7,0,0.85323,0.71376,0.60084,0.62439,0.85323,0.85323,0.85323
7,1,0.85337,0.71515,0.56848,0.58342,0.85337,0.85337,0.85337
7,2,0.85926,0.70196,0.57838,0.5977,0.85926,0.85926,0.85926
7,3,0.89018,0.68814,0.53755,0.54404,0.89018,0.89018,0.89018
7,4,0.87633,0.69142,0.54938,0.56006,0.87633,0.87633,0.87633
7,5,0.85282,0.7343,0.58005,0.59909,0.85282,0.85282,0.85282
7,6,0.87878,0.72256,0.56783,0.58713,0.87878,0.87878,0.87878
7,7,0.85383,0.69231,0.58132,0.60039,0.85383,0.85383,0.85383
7,8,0.84345,0.71822,0.5876,0.60719,0.84345,0.84345,0.84345
7,9,0.87737,0.70358,0.54873,0.55905,0.87737,0.87737,0.87737
8,0,0.85295,0.71301,0.5977,0.62071,0.85295,0.85295,0.85295
8,1,0.85212,0.70644,0.57043,0.58601,0.85212,0.85212,0.85212
8,2,0.85951,0.70356,0.57494,0.59329,0.85951,0.85951,0.85951
8,3,0.8904,0.69111,0.53856,0.54567,0.8904,0.8904,0.8904
8,4,0.87688,0.69626,0.54969,0.56056,0.87688,0.87688,0.87688
8,5,0.85256,0.73403,0.57783,0.59605,0.85256,0.85256,0.85256
8,6,0.87828,0.72014,0.56236,0.57934,0.87828,0.87828,0.87828
8,7,0.85453,0.69582,0.58823,0.60897,0.85453,0.85453,0.85453
8,8,0.84295,0.71783,0.58186,0.5997,0.84295,0.84295,0.84295
8,9,0.8746,0.68234,0.55678,0.57079,0.8746,0.8746,0.8746
9,0,0.85351,0.71438,0.60472,0.62883,0.85351,0.85351,0.85351
9,1,0.85287,0.71141,0.56953,0.58484,0.85287,0.85287,0.85287
9,2,0.85926,0.70189,0.57982,0.59952,0.85926,0.85926,0.85926
