round,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0.86067,0.68034,0.50006,0.4627,0.86067,0.86067,0.86067
2,0.86282,0.74452,0.51749,0.49946,0.86282,0.86282,0.86282
3,0.86345,0.73468,0.52622,0.51653,0.86345,0.86345,0.86345
4,0.86361,0.72881,0.53081,0.52516,0.86361,0.86361,0.86361
5,0.86418,0.73124,0.53565,0.53378,0.86418,0.86418,0.86418
6,0.864,0.72923,0.53501,0.53269,0.864,0.864,0.864
7,0.86402,0.72724,0.53669,0.53567,0.86402,0.86402,0.86402
8,0.86408,0.73039,0.53512,0.53286,0.86408,0.86408,0.86408
9,0.86416,0.72664,0.53884,0.53943,0.86416,0.86416,0.86416
10,0.8643,0.72982,0.53797,0.53787,0.8643,0.8643,0.8643
11,0.86449,0.73197,0.53862,0.53896,0.86449,0.86449,0.86449
12,0.86434,0.73183,0.53699,0.53612,0.86434,0.86434,0.86434
13,0.86465,0.73511,0.53818,0.53814,0.86465,0.86465,0.86465
14,0.86493,0.73169,0.54367,0.54756,0.86493,0.86493,0.86493
15,0.86485,0.73001,0.54422,0.54849,0.86485,0.86485,0.86485
16,0.86515,0.73882,0.54078,0.54256,0.86515,0.86515,0.86515
17,0.86516,0.7362,0.54274,0.54594,0.86516,0.86516,0.86516
18,0.86501,0.73353,0.54307,0.54652,0.86501,0.86501,0.86501
19,0.86493,0.7312,0.54409,0.54826,0.86493,0.86493,0.86493
20,0.86507,0.7334,0.54381,0.54777,0.86507,0.86507,0.86507
21,0.86509,0.73595,0.54211,0.54486,0.86509,0.86509,0.86509
22,0.86518,0.7393,0.54086,0.5427,0.86518,0.86518,0.86518
23,0.86493,0.72956,0.54557,0.55074,0.86493,0.86493,0.86493
24,0.86503,0.73605,0.54142,0.5437,0.86503,0.86503,0.86503
25,0.86493,0.72748,0.54765,0.55416,0.86493,0.86493,0.86493
