round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.83772,0.41978,0.49869,0.45585,0.83772,0.83772,0.83772
1,1,0.83772,0.41978,0.49869,0.45585,0.83772,0.83772,0.83772
1,2,0.83772,0.41978,0.49869,0.45585,0.83772,0.83772,0.83772
1,3,0.83772,0.41978,0.49869,0.45585,0.83772,0.83772,0.83772
1,4,0.82895,0.41907,0.49347,0.45324,0.82895,0.82895,0.82895
2,0,0.82018,0.63309,0.58804,0.60091,0.82018,0.82018,0.82018
2,1,0.79386,0.63045,0.64444,0.63655,0.79386,0.79386,0.79386
2,2,0.83991,0.67146,0.51109,0.48226,0.83991,0.83991,0.83991
2,3,0.83553,0.64802,0.54174,0.54224,0.83553,0.83553,0.83553
2,4,0.77412,0.619,0.64933,0.62933,0.77412,0.77412,0.77412
3,0,0.83991,0.67377,0.52772,0.51621,0.83991,0.83991,0.83991
3,1,0.83114,0.64302,0.5613,0.57134,0.83114,0.83114,0.83114
3,2,0.84211,0.75497,0.51239,0.48325,0.84211,0.84211,0.84211
3,3,0.83991,0.67146,0.51109,0.48226,0.83991,0.83991,0.83991
3,4,0.83991,0.67222,0.51663,0.49416,0.83991,0.83991,0.83991
4,0,0.83772,0.65515,0.53196,0.52497,0.83772,0.83772,0.83772
4,1,0.83991,0.67222,0.51663,0.49416,0.83991,0.83991,0.83991
4,2,0.84211,0.75497,0.51239,0.48325,0.84211,0.84211,0.84211
4,3,0.83772,0.66923,0.56522,0.57699,0.83772,0.83772,0.83772
4,4,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
5,0,0.82675,0.64234,0.58087,0.59483,0.82675,0.82675,0.82675
5,1,0.83991,0.67534,0.53881,0.53622,0.83991,0.83991,0.83991
5,2,0.83114,0.65437,0.58348,0.59884,0.83114,0.83114,0.83114
5,3,0.83553,0.63176,0.52511,0.51348,0.83553,0.83553,0.83553
5,4,0.80044,0.59415,0.57075,0.57819,0.80044,0.80044,0.80044
6,0,0.84211,0.75497,0.51239,0.48325,0.84211,0.84211,0.84211
6,1,0.83553,0.65469,0.55283,0.55936,0.83553,0.83553,0.83553
6,2,0.83553,0.66598,0.58055,0.59639,0.83553,0.83553,0.83553
6,3,0.82237,0.6378,0.58935,0.6029,0.82237,0.82237,0.82237
6,4,0.7193,0.60752,0.67213,0.61175,0.7193,0.7193,0.7193
7,0,0.83772,0.63633,0.51533,0.49303,0.83772,0.83772,0.83772
7,1,0.83772,0.66568,0.55413,0.56115,0.83772,0.83772,0.83772
7,2,0.81798,0.62858,0.58673,0.59893,0.81798,0.81798,0.81798
7,3,0.80044,0.61591,0.60401,0.60917,0.80044,0.80044,0.80044
7,4,0.81579,0.62076,0.57988,0.59117,0.81579,0.81579,0.81579
8,0,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
8,1,0.80263,0.61247,0.59423,0.6014,0.80263,0.80263,0.80263
8,2,0.79386,0.62245,0.62781,0.62499,0.79386,0.79386,0.79386
8,3,0.83553,0.60938,0.51402,0.49191,0.83553,0.83553,0.83553
8,4,0.83553,0.64375,0.5362,0.53309,0.83553,0.83553,0.83553
9,0,0.79605,0.6277,0.63466,0.63095,0.79605,0.79605,0.79605
9,1,0.83772,0.66362,0.54859,0.5527,0.83772,0.83772,0.83772
9,2,0.83991,0.67534,0.53881,0.53622,0.83991,0.83991,0.83991
9,3,0.80263,0.62196,0.61086,0.61577,0.80263,0.80263,0.80263
9,4,0.83553,0.64375,0.5362,0.53309,0.83553,0.83553,0.83553
10,0,0.84211,0.75497,0.51239,0.48325,0.84211,0.84211,0.84211
10,1,0.83553,0.66944,0.59163,0.60926,0.83553,0.83553,0.83553
10,2,0.83333,0.66088,0.58478,0.60088,0.83333,0.83333,0.83333
10,3,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
10,4,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
11,0,0.83772,0.41978,0.49869,0.45585,0.83772,0.83772,0.83772
11,1,0.82456,0.63985,0.58511,0.599,0.82456,0.82456,0.82456
11,2,0.71053,0.60273,0.66691,0.60462,0.71053,0.71053,0.71053
11,3,0.83553,0.65741,0.55837,0.56739,0.83553,0.83553,0.83553
11,4,0.83553,0.65741,0.55837,0.56739,0.83553,0.83553,0.83553
12,0,0.83991,0.6707,0.50554,0.46973,0.83991,0.83991,0.83991
12,1,0.83991,0.67775,0.55544,0.56296,0.83991,0.83991,0.83991
12,2,0.80482,0.60501,0.5789,0.58746,0.80482,0.80482,0.80482
12,3,0.82237,0.63475,0.5838,0.59701,0.82237,0.82237,0.82237
12,4,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
13,0,0.84211,0.75497,0.51239,0.48325,0.84211,0.84211,0.84211
13,1,0.83772,0.41978,0.49869,0.45585,0.83772,0.83772,0.83772
13,2,0.83114,0.64302,0.5613,0.57134,0.83114,0.83114,0.83114
13,3,0.83333,0.65639,0.5737,0.58759,0.83333,0.83333,0.83333
13,4,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
14,0,0.83772,0.41978,0.49869,0.45585,0.83772,0.83772,0.83772
14,1,0.83772,0.66923,0.56522,0.57699,0.83772,0.83772,0.83772
14,2,0.83991,0.67694,0.54989,0.55444,0.83991,0.83991,0.83991
14,3,0.83772,0.41978,0.49869,0.45585,0.83772,0.83772,0.83772
14,4,0.83772,0.41978,0.49869,0.45585,0.83772,0.83772,0.83772
15,0,0.80263,0.64518,0.66075,0.65201,0.80263,0.80263,0.80263
15,1,0.8443,0.79757,0.51924,0.49645,0.8443,0.8443,0.8443
15,2,0.82456,0.63349,0.57402,0.58649,0.82456,0.82456,0.82456
15,3,0.80702,0.60857,0.58021,0.58932,0.80702,0.80702,0.80702
15,4,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
16,0,0.84211,0.75497,0.51239,0.48325,0.84211,0.84211,0.84211
16,1,0.83772,0.41978,0.49869,0.45585,0.83772,0.83772,0.83772
16,2,0.83991,0.67377,0.52772,0.51621,0.83991,0.83991,0.83991
16,3,0.83333,0.64072,0.54598,0.54929,0.83333,0.83333,0.83333
16,4,0.74342,0.61159,0.66431,0.62123,0.74342,0.74342,0.74342
17,0,0.83991,0.67299,0.52218,0.50546,0.83991,0.83991,0.83991
17,1,0.83991,0.6707,0.50554,0.46973,0.83991,0.83991,0.83991
17,2,0.8443,0.71734,0.54142,0.53943,0.8443,0.8443,0.8443
17,3,0.83772,0.64504,0.52087,0.5042,0.83772,0.83772,0.83772
17,4,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
