round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.82192,0.42254,0.48387,0.45113,0.82192,0.82192,0.82192
1,1,0.79452,0.39726,0.5,0.44275,0.79452,0.79452,0.79452
1,2,0.84932,0.42466,0.5,0.45926,0.84932,0.84932,0.84932
1,3,0.89041,0.44521,0.5,0.47101,0.89041,0.89041,0.89041
1,4,0.80822,0.40972,0.49167,0.44697,0.80822,0.80822,0.80822
2,0,0.69863,0.41129,0.41129,0.41129,0.69863,0.69863,0.69863
2,1,0.67123,0.53899,0.54598,0.53992,0.67123,0.67123,0.67123
2,2,0.84932,0.42466,0.5,0.45926,0.84932,0.84932,0.84932
2,3,0.89041,0.70652,0.60962,0.63682,0.89041,0.89041,0.89041
2,4,0.72603,0.59308,0.62244,0.59978,0.72603,0.72603,0.72603
3,0,0.82192,0.42254,0.48387,0.45113,0.82192,0.82192,0.82192
3,1,0.73973,0.55476,0.53966,0.54149,0.73973,0.73973,0.73973
3,2,0.84932,0.42466,0.5,0.45926,0.84932,0.84932,0.84932
3,3,0.86301,0.44366,0.48462,0.46324,0.86301,0.86301,0.86301
3,4,0.83562,0.91667,0.53846,0.52597,0.83562,0.83562,0.83562
4,0,0.82192,0.42254,0.48387,0.45113,0.82192,0.82192,0.82192
4,1,0.76712,0.39437,0.48276,0.43411,0.76712,0.76712,0.76712
4,2,0.84932,0.42466,0.5,0.45926,0.84932,0.84932,0.84932
4,3,0.89041,0.70652,0.60962,0.63682,0.89041,0.89041,0.89041
4,4,0.82192,0.41096,0.5,0.45113,0.82192,0.82192,0.82192
5,0,0.69863,0.41129,0.41129,0.41129,0.69863,0.69863,0.69863
5,1,0.76712,0.52355,0.50747,0.4857,0.76712,0.76712,0.76712
5,2,0.83562,0.63382,0.56672,0.57885,0.83562,0.83562,0.83562
5,3,0.89041,0.70652,0.60962,0.63682,0.89041,0.89041,0.89041
5,4,0.79452,0.62857,0.60385,0.61294,0.79452,0.79452,0.79452
6,0,0.83562,0.42361,0.49194,0.45522,0.83562,0.83562,0.83562
6,1,0.75342,0.49706,0.49885,0.47857,0.75342,0.75342,0.75342
6,2,0.83562,0.63382,0.56672,0.57885,0.83562,0.83562,0.83562
6,3,0.90411,0.75434,0.78173,0.76699,0.90411,0.90411,0.90411
6,4,0.67123,0.56043,0.5891,0.55758,0.67123,0.67123,0.67123
7,0,0.83562,0.42361,0.49194,0.45522,0.83562,0.83562,0.83562
7,1,0.76712,0.52355,0.50747,0.4857,0.76712,0.76712,0.76712
7,2,0.80822,0.57468,0.55059,0.55642,0.80822,0.80822,0.80822
7,3,0.83562,0.65315,0.74327,0.67889,0.83562,0.83562,0.83562
7,4,0.78082,0.58854,0.56538,0.57185,0.78082,0.78082,0.78082
8,0,0.84932,0.42466,0.5,0.45926,0.84932,0.84932,0.84932
8,1,0.73973,0.5765,0.56437,0.56832,0.73973,0.73973,0.73973
8,2,0.78082,0.57185,0.57185,0.57185,0.78082,0.78082,0.78082
8,3,0.90411,0.79048,0.61731,0.65589,0.90411,0.90411,0.90411
8,4,0.83562,0.91667,0.53846,0.52597,0.83562,0.83562,0.83562
9,0,0.68493,0.48355,0.47801,0.47744,0.68493,0.68493,0.68493
9,1,0.75342,0.39286,0.47414,0.42969,0.75342,0.75342,0.75342
9,2,0.84932,0.67958,0.53739,0.53557,0.84932,0.84932,0.84932
9,3,0.84932,0.66731,0.75096,0.6941,0.84932,0.84932,0.84932
9,4,0.83562,0.91667,0.53846,0.52597,0.83562,0.83562,0.83562
10,0,0.83562,0.42361,0.49194,0.45522,0.83562,0.83562,0.83562
10,1,0.78082,0.63628,0.59023,0.60109,0.78082,0.78082,0.78082
10,2,0.82192,0.5995,0.55865,0.56726,0.82192,0.82192,0.82192
10,3,0.89041,0.44521,0.5,0.47101,0.89041,0.89041,0.89041
10,4,0.82192,0.41096,0.5,0.45113,0.82192,0.82192,0.82192
11,0,0.83562,0.42361,0.49194,0.45522,0.83562,0.83562,0.83562
11,1,0.78082,0.63628,0.59023,0.60109,0.78082,0.78082,0.78082
11,2,0.76712,0.62121,0.67595,0.63425,0.76712,0.76712,0.76712
11,3,0.89041,0.71269,0.66442,0.68398,0.89041,0.89041,0.89041
11,4,0.83562,0.75476,0.56859,0.57885,0.83562,0.83562,0.83562
12,0,0.83562,0.42361,0.49194,0.45522,0.83562,0.83562,0.83562
12,1,0.75342,0.39286,0.47414,0.42969,0.75342,0.75342,0.75342
12,2,0.80822,0.60417,0.58798,0.59444,0.80822,0.80822,0.80822
12,3,0.89041,0.71923,0.71923,0.71923,0.89041,0.89041,0.89041
12,4,0.82192,0.41096,0.5,0.45113,0.82192,0.82192,0.82192
13,0,0.83562,0.42361,0.49194,0.45522,0.83562,0.83562,0.83562
13,1,0.79452,0.39726,0.5,0.44275,0.79452,0.79452,0.79452
13,2,0.82192,0.5995,0.55865,0.56726,0.82192,0.82192,0.82192
13,3,0.90411,0.75541,0.72692,0.73995,0.90411,0.90411,0.90411
13,4,0.82192,0.41096,0.5,0.45113,0.82192,0.82192,0.82192
14,0,0.83562,0.42361,0.49194,0.45522,0.83562,0.83562,0.83562
14,1,0.75342,0.39286,0.47414,0.42969,0.75342,0.75342,0.75342
14,2,0.84932,0.68478,0.57478,0.59135,0.84932,0.84932,0.84932
14,3,0.89041,0.44521,0.5,0.47101,0.89041,0.89041,0.89041
14,4,0.82192,0.41096,0.5,0.45113,0.82192,0.82192,0.82192
15,0,0.68493,0.48355,0.47801,0.47744,0.68493,0.68493,0.68493
15,1,0.76712,0.39437,0.48276,0.43411,0.76712,0.76712,0.76712
15,2,0.80822,0.57468,0.55059,0.55642,0.80822,0.80822,0.80822
15,3,0.86301,0.66825,0.70385,0.68316,0.86301,0.86301,0.86301
15,4,0.82192,0.41096,0.5,0.45113,0.82192,0.82192,0.82192
16,0,0.83562,0.42361,0.49194,0.45522,0.83562,0.83562,0.83562
16,1,0.79452,0.39726,0.5,0.44275,0.79452,0.79452,0.79452
16,2,0.86301,0.93056,0.54545,0.54602,0.86301,0.86301,0.86301
16,3,0.90411,0.75541,0.72692,0.73995,0.90411,0.90411,0.90411
16,4,0.75342,0.62865,0.66923,0.6398,0.75342,0.75342,0.75342
17,0,0.83562,0.42361,0.49194,0.45522,0.83562,0.83562,0.83562
17,1,0.76712,0.39437,0.48276,0.43411,0.76712,0.76712,0.76712
17,2,0.86301,0.93056,0.54545,0.54602,0.86301,0.86301,0.86301
17,3,0.91781,0.95775,0.625,0.67794,0.91781,0.91781,0.91781
17,4,0.82192,0.41096,0.5,0.45113,0.82192,0.82192,0.82192
18,0,0.83562,0.42361,0.49194,0.45522,0.83562,0.83562,0.83562
18,1,0.72603,0.58046,0.58046,0.58046,0.72603,0.72603,0.72603
18,2,0.86301,0.93056,0.54545,0.54602,0.86301,0.86301,0.86301
18,3,0.91781,0.95775,0.625,0.67794,0.91781,0.91781,0.91781
