round,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
2,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
3,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
4,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
5,0.84211,0.92088,0.50685,0.47055,0.84211,0.84211,0.84211
6,0.83553,0.54535,0.50293,0.46808,0.83553,0.83553,0.83553
7,0.83553,0.60938,0.51402,0.49191,0.83553,0.83553,0.83553
8,0.83772,0.65087,0.52641,0.51484,0.83772,0.83772,0.83772
9,0.83553,0.63176,0.52511,0.51348,0.83553,0.83553,0.83553
10,0.83553,0.63176,0.52511,0.51348,0.83553,0.83553,0.83553
11,0.83114,0.60165,0.5225,0.5108,0.83114,0.83114,0.83114
12,0.82895,0.57597,0.51565,0.4993,0.82895,0.82895,0.82895
13,0.83114,0.58896,0.51695,0.50051,0.83114,0.83114,0.83114
14,0.83333,0.60429,0.51826,0.50173,0.83333,0.83333,0.83333
15,0.83114,0.58896,0.51695,0.50051,0.83114,0.83114,0.83114
16,0.83553,0.62265,0.51956,0.50296,0.83553,0.83553,0.83553
17,0.83772,0.64504,0.52087,0.5042,0.83772,0.83772,0.83772
18,0.83772,0.64504,0.52087,0.5042,0.83772,0.83772,0.83772
19,0.83553,0.62265,0.51956,0.50296,0.83553,0.83553,0.83553
20,0.83553,0.62265,0.51956,0.50296,0.83553,0.83553,0.83553
21,0.83772,0.64504,0.52087,0.5042,0.83772,0.83772,0.83772
22,0.83553,0.63176,0.52511,0.51348,0.83553,0.83553,0.83553
23,0.83553,0.62265,0.51956,0.50296,0.83553,0.83553,0.83553
24,0.83991,0.67299,0.52218,0.50546,0.83991,0.83991,0.83991
25,0.83553,0.63176,0.52511,0.51348,0.83553,0.83553,0.83553
