round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
1,1,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
1,2,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
1,3,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
1,4,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
2,0,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
2,1,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
2,2,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
2,3,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
2,4,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
3,0,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
3,1,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
3,2,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
3,3,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
3,4,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
4,0,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
4,1,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
4,2,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
4,3,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
4,4,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
5,0,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
5,1,0.83553,0.54535,0.50293,0.46808,0.83553,0.83553,0.83553
5,2,0.83553,0.54535,0.50293,0.46808,0.83553,0.83553,0.83553
5,3,0.83772,0.62129,0.50978,0.48128,0.83772,0.83772,0.83772
5,4,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
6,0,0.83772,0.5872,0.50424,0.4689,0.83772,0.83772,0.83772
6,1,0.83553,0.60938,0.51402,0.49191,0.83553,0.83553,0.83553
6,2,0.83553,0.58778,0.50848,0.4803,0.83553,0.83553,0.83553
6,3,0.83333,0.58837,0.51272,0.4908,0.83333,0.83333,0.83333
6,4,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
7,0,0.83553,0.54535,0.50293,0.46808,0.83553,0.83553,0.83553
7,1,0.83333,0.61556,0.5238,0.51213,0.83333,0.83333,0.83333
7,2,0.82895,0.58957,0.52119,0.50949,0.82895,0.82895,0.82895
7,3,0.82895,0.58957,0.52119,0.50949,0.82895,0.82895,0.82895
7,4,0.83772,0.5872,0.50424,0.4689,0.83772,0.83772,0.83772
8,0,0.83772,0.63633,0.51533,0.49303,0.83772,0.83772,0.83772
8,1,0.83114,0.60165,0.5225,0.5108,0.83114,0.83114,0.83114
8,2,0.83114,0.6191,0.53358,0.53003,0.83114,0.83114,0.83114
8,3,0.82895,0.60016,0.52674,0.51922,0.82895,0.82895,0.82895
8,4,0.83553,0.58778,0.50848,0.4803,0.83553,0.83553,0.83553
9,0,0.83553,0.58778,0.50848,0.4803,0.83553,0.83553,0.83553
9,1,0.83553,0.63176,0.52511,0.51348,0.83553,0.83553,0.83553
9,2,0.83333,0.63616,0.54043,0.54062,0.83333,0.83333,0.83333
9,3,0.83114,0.6191,0.53358,0.53003,0.83114,0.83114,0.83114
9,4,0.83991,0.67146,0.51109,0.48226,0.83991,0.83991,0.83991
10,0,0.83991,0.6707,0.50554,0.46973,0.83991,0.83991,0.83991
10,1,0.83114,0.6191,0.53358,0.53003,0.83114,0.83114,0.83114
10,2,0.83114,0.6191,0.53358,0.53003,0.83114,0.83114,0.83114
10,3,0.83333,0.64072,0.54598,0.54929,0.83333,0.83333,0.83333
10,4,0.83772,0.5872,0.50424,0.4689,0.83772,0.83772,0.83772
11,0,0.83991,0.67146,0.51109,0.48226,0.83991,0.83991,0.83991
11,1,0.82675,0.5648,0.51434,0.4981,0.82675,0.82675,0.82675
11,2,0.83553,0.65469,0.55283,0.55936,0.83553,0.83553,0.83553
11,3,0.83333,0.64464,0.55152,0.5576,0.83333,0.83333,0.83333
11,4,0.83772,0.5872,0.50424,0.4689,0.83772,0.83772,0.83772
12,0,0.83991,0.67146,0.51109,0.48226,0.83991,0.83991,0.83991
12,1,0.83333,0.63616,0.54043,0.54062,0.83333,0.83333,0.83333
12,2,0.83333,0.63616,0.54043,0.54062,0.83333,0.83333,0.83333
12,3,0.83333,0.64464,0.55152,0.5576,0.83333,0.83333,0.83333
12,4,0.83991,0.67146,0.51109,0.48226,0.83991,0.83991,0.83991
13,0,0.83772,0.5872,0.50424,0.4689,0.83772,0.83772,0.83772
13,1,0.83333,0.63616,0.54043,0.54062,0.83333,0.83333,0.83333
13,2,0.83333,0.60429,0.51826,0.50173,0.83333,0.83333,0.83333
13,3,0.83553,0.65741,0.55837,0.56739,0.83553,0.83553,0.83553
13,4,0.83991,0.67299,0.52218,0.50546,0.83991,0.83991,0.83991
14,0,0.83772,0.5872,0.50424,0.4689,0.83772,0.83772,0.83772
14,1,0.82895,0.57597,0.51565,0.4993,0.82895,0.82895,0.82895
14,2,0.83553,0.65161,0.54728,0.55099,0.83553,0.83553,0.83553
14,3,0.83333,0.63616,0.54043,0.54062,0.83333,0.83333,0.83333
14,4,0.84211,0.92088,0.50685,0.47055,0.84211,0.84211,0.84211
15,0,0.83772,0.5872,0.50424,0.4689,0.83772,0.83772,0.83772
15,1,0.83333,0.63616,0.54043,0.54062,0.83333,0.83333,0.83333
15,2,0.83333,0.63616,0.54043,0.54062,0.83333,0.83333,0.83333
15,3,0.83333,0.64072,0.54598,0.54929,0.83333,0.83333,0.83333
15,4,0.83991,0.67146,0.51109,0.48226,0.83991,0.83991,0.83991
16,0,0.83772,0.5872,0.50424,0.4689,0.83772,0.83772,0.83772
16,1,0.83333,0.63616,0.54043,0.54062,0.83333,0.83333,0.83333
16,2,0.83333,0.63071,0.53489,0.53155,0.83333,0.83333,0.83333
16,3,0.83772,0.66754,0.55968,0.56924,0.83772,0.83772,0.83772
16,4,0.84211,0.75497,0.51239,0.48325,0.84211,0.84211,0.84211
17,0,0.83991,0.67146,0.51109,0.48226,0.83991,0.83991,0.83991
17,1,0.83114,0.58896,0.51695,0.50051,0.83114,0.83114,0.83114
17,2,0.83553,0.60938,0.51402,0.49191,0.83553,0.83553,0.83553
17,3,0.83772,0.66754,0.55968,0.56924,0.83772,0.83772,0.83772
17,4,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
18,0,0.83991,0.67146,0.51109,0.48226,0.83991,0.83991,0.83991
18,1,0.83772,0.6585,0.5375,0.53464,0.83772,0.83772,0.83772
18,2,0.83553,0.64802,0.54174,0.54224,0.83553,0.83553,0.83553
18,3,0.83553,0.64375,0.5362,0.53309,0.83553,0.83553,0.83553
18,4,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
19,0,0.83991,0.67146,0.51109,0.48226,0.83991,0.83991,0.83991
19,1,0.83772,0.6585,0.5375,0.53464,0.83772,0.83772,0.83772
