round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.84932,0.42466,0.5,0.45926,0.84932,0.84932,0.84932
1,1,0.79452,0.39726,0.5,0.44275,0.79452,0.79452,0.79452
1,2,0.84932,0.42466,0.5,0.45926,0.84932,0.84932,0.84932
1,3,0.89041,0.44521,0.5,0.47101,0.89041,0.89041,0.89041
1,4,0.82192,0.41096,0.5,0.45113,0.82192,0.82192,0.82192
2,0,0.84932,0.42466,0.5,0.45926,0.84932,0.84932,0.84932
2,1,0.79452,0.39726,0.5,0.44275,0.79452,0.79452,0.79452
2,2,0.84932,0.42466,0.5,0.45926,0.84932,0.84932,0.84932
2,3,0.89041,0.44521,0.5,0.47101,0.89041,0.89041,0.89041
2,4,0.82192,0.41096,0.5,0.45113,0.82192,0.82192,0.82192
3,0,0.84932,0.42466,0.5,0.45926,0.84932,0.84932,0.84932
3,1,0.79452,0.39726,0.5,0.44275,0.79452,0.79452,0.79452
3,2,0.84932,0.42466,0.5,0.45926,0.84932,0.84932,0.84932
3,3,0.89041,0.44521,0.5,0.47101,0.89041,0.89041,0.89041
3,4,0.82192,0.41096,0.5,0.45113,0.82192,0.82192,0.82192
4,0,0.84932,0.42466,0.5,0.45926,0.84932,0.84932,0.84932
4,1,0.79452,0.39726,0.5,0.44275,0.79452,0.79452,0.79452
4,2,0.84932,0.42466,0.5,0.45926,0.84932,0.84932,0.84932
4,3,0.89041,0.44521,0.5,0.47101,0.89041,0.89041,0.89041
4,4,0.82192,0.41096,0.5,0.45113,0.82192,0.82192,0.82192
5,0,0.84932,0.42466,0.5,0.45926,0.84932,0.84932,0.84932
5,1,0.78082,0.39583,0.49138,0.43846,0.78082,0.78082,0.78082
5,2,0.84932,0.42466,0.5,0.45926,0.84932,0.84932,0.84932
5,3,0.90411,0.95139,0.5625,0.58556,0.90411,0.90411,0.90411
5,4,0.82192,0.41096,0.5,0.45113,0.82192,0.82192,0.82192
6,0,0.83562,0.42361,0.49194,0.45522,0.83562,0.83562,0.83562
6,1,0.76712,0.39437,0.48276,0.43411,0.76712,0.76712,0.76712
6,2,0.84932,0.42466,0.5,0.45926,0.84932,0.84932,0.84932
6,3,0.91781,0.95775,0.625,0.67794,0.91781,0.91781,0.91781
6,4,0.82192,0.41096,0.5,0.45113,0.82192,0.82192,0.82192
7,0,0.83562,0.42361,0.49194,0.45522,0.83562,0.83562,0.83562
7,1,0.76712,0.39437,0.48276,0.43411,0.76712,0.76712,0.76712
7,2,0.84932,0.67958,0.53739,0.53557,0.84932,0.84932,0.84932
7,3,0.91781,0.83877,0.67981,0.72761,0.91781,0.91781,0.91781
7,4,0.82192,0.41096,0.5,0.45113,0.82192,0.82192,0.82192
8,0,0.82192,0.42254,0.48387,0.45113,0.82192,0.82192,0.82192
8,1,0.76712,0.39437,0.48276,0.43411,0.76712,0.76712,0.76712
8,2,0.84932,0.67958,0.53739,0.53557,0.84932,0.84932,0.84932
8,3,0.91781,0.83877,0.67981,0.72761,0.91781,0.91781,0.91781
8,4,0.82192,0.41096,0.5,0.45113,0.82192,0.82192,0.82192
9,0,0.82192,0.42254,0.48387,0.45113,0.82192,0.82192,0.82192
9,1,0.76712,0.39437,0.48276,0.43411,0.76712,0.76712,0.76712
9,2,0.86301,0.76905,0.58284,0.60498,0.86301,0.86301,0.86301
9,3,0.90411,0.76324,0.67212,0.70445,0.90411,0.90411,0.90411
9,4,0.82192,0.41096,0.5,0.45113,0.82192,0.82192,0.82192
10,0,0.83562,0.42361,0.49194,0.45522,0.83562,0.83562,0.83562
10,1,0.76712,0.39437,0.48276,0.43411,0.76712,0.76712,0.76712
10,2,0.84932,0.67958,0.53739,0.53557,0.84932,0.84932,0.84932
10,3,0.90411,0.76324,0.67212,0.70445,0.90411,0.90411,0.90411
10,4,0.82192,0.41096,0.5,0.45113,0.82192,0.82192,0.82192
11,0,0.82192,0.42254,0.48387,0.45113,0.82192,0.82192,0.82192
11,1,0.76712,0.39437,0.48276,0.43411,0.76712,0.76712,0.76712
11,2,0.86301,0.76905,0.58284,0.60498,0.86301,0.86301,0.86301
11,3,0.90411,0.76324,0.67212,0.70445,0.90411,0.90411,0.90411
11,4,0.82192,0.41096,0.5,0.45113,0.82192,0.82192,0.82192
12,0,0.83562,0.42361,0.49194,0.45522,0.83562,0.83562,0.83562
12,1,0.75342,0.39286,0.47414,0.42969,0.75342,0.75342,0.75342
12,2,0.86301,0.76905,0.58284,0.60498,0.86301,0.86301,0.86301
12,3,0.90411,0.76324,0.67212,0.70445,0.90411,0.90411,0.90411
12,4,0.82192,0.41096,0.5,0.45113,0.82192,0.82192,0.82192
13,0,0.84932,0.42466,0.5,0.45926,0.84932,0.84932,0.84932
13,1,0.75342,0.39286,0.47414,0.42969,0.75342,0.75342,0.75342
13,2,0.84932,0.67958,0.53739,0.53557,0.84932,0.84932,0.84932
13,3,0.90411,0.75541,0.72692,0.73995,0.90411,0.90411,0.90411
13,4,0.82192,0.41096,0.5,0.45113,0.82192,0.82192,0.82192
14,0,0.84932,0.42466,0.5,0.45926,0.84932,0.84932,0.84932
14,1,0.76712,0.39437,0.48276,0.43411,0.76712,0.76712,0.76712
14,2,0.86301,0.76905,0.58284,0.60498,0.86301,0.86301,0.86301
14,3,0.90411,0.76324,0.67212,0.70445,0.90411,0.90411,0.90411
14,4,0.82192,0.41096,0.5,0.45113,0.82192,0.82192,0.82192
15,0,0.84932,0.42466,0.5,0.45926,0.84932,0.84932,0.84932
15,1,0.75342,0.39286,0.47414,0.42969,0.75342,0.75342,0.75342
15,2,0.84932,0.67958,0.53739,0.53557,0.84932,0.84932,0.84932
15,3,0.90411,0.76324,0.67212,0.70445,0.90411,0.90411,0.90411
15,4,0.82192,0.41096,0.5,0.45113,0.82192,0.82192,0.82192
16,0,0.84932,0.42466,0.5,0.45926,0.84932,0.84932,0.84932
16,1,0.76712,0.39437,0.48276,0.43411,0.76712,0.76712,0.76712
16,2,0.84932,0.67958,0.53739,0.53557,0.84932,0.84932,0.84932
16,3,0.90411,0.75541,0.72692,0.73995,0.90411,0.90411,0.90411
16,4,0.82192,0.41096,0.5,0.45113,0.82192,0.82192,0.82192
17,0,0.84932,0.42466,0.5,0.45926,0.84932,0.84932,0.84932
17,1,0.79452,0.39726,0.5,0.44275,0.79452,0.79452,0.79452
17,2,0.86301,0.93056,0.54545,0.54602,0.86301,0.86301,0.86301
17,3,0.90411,0.75541,0.72692,0.73995,0.90411,0.90411,0.90411
17,4,0.82192,0.41096,0.5,0.45113,0.82192,0.82192,0.82192
18,0,0.84932,0.42466,0.5,0.45926,0.84932,0.84932,0.84932
18,1,0.76712,0.39437,0.48276,0.43411,0.76712,0.76712,0.76712
18,2,0.86301,0.76905,0.58284,0.60498,0.86301,0.86301,0.86301
18,3,0.89041,0.70652,0.60962,0.63682,0.89041,0.89041,0.89041
18,4,0.82192,0.41096,0.5,0.45113,0.82192,0.82192,0.82192
