round,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0.16009,0.08004,0.5,0.138,0.16009,0.16009,0.16009
2,0.52193,0.48751,0.47702,0.43599,0.52193,0.52193,0.52193
3,0.83772,0.41978,0.49869,0.45585,0.83772,0.83772,0.83772
4,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
5,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
6,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
7,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
8,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
9,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
10,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
11,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
12,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
13,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
14,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
15,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
16,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
17,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
18,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
19,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
20,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
21,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
22,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
23,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
24,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
25,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
