round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.16009,0.08004,0.5,0.138,0.16009,0.16009,0.16009
1,1,0.16009,0.08004,0.5,0.138,0.16009,0.16009,0.16009
1,2,0.16009,0.08004,0.5,0.138,0.16009,0.16009,0.16009
1,3,0.16009,0.08004,0.5,0.138,0.16009,0.16009,0.16009
1,4,0.16009,0.08004,0.5,0.138,0.16009,0.16009,0.16009
2,0,0.17105,0.58093,0.50653,0.1522,0.17105,0.17105,0.17105
2,1,0.16009,0.08004,0.5,0.138,0.16009,0.16009,0.16009
2,2,0.83772,0.5872,0.50424,0.4689,0.83772,0.83772,0.83772
2,3,0.16009,0.08004,0.5,0.138,0.16009,0.16009,0.16009
2,4,0.1864,0.58221,0.51567,0.17158,0.1864,0.1864,0.1864
3,0,0.23465,0.51649,0.51112,0.23196,0.23465,0.23465,0.23465
3,1,0.54167,0.49689,0.49431,0.45136,0.54167,0.54167,0.54167
3,2,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
3,3,0.80921,0.44943,0.48727,0.45838,0.80921,0.80921,0.80921
3,4,0.83772,0.41978,0.49869,0.45585,0.83772,0.83772,0.83772
4,0,0.83553,0.54535,0.50293,0.46808,0.83553,0.83553,0.83553
4,1,0.83772,0.41978,0.49869,0.45585,0.83772,0.83772,0.83772
4,2,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
4,3,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
4,4,0.83772,0.41978,0.49869,0.45585,0.83772,0.83772,0.83772
5,0,0.83772,0.41978,0.49869,0.45585,0.83772,0.83772,0.83772
5,1,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
5,2,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
5,3,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
5,4,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
6,0,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
6,1,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
6,2,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
6,3,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
6,4,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
7,0,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
7,1,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
7,2,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
7,3,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
7,4,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
8,0,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
8,1,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
8,2,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
8,3,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
8,4,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
9,0,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
9,1,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
9,2,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
9,3,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
9,4,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
10,0,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
10,1,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
10,2,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
10,3,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
