round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.46154,0.23077,0.5,0.31579,0.46154,0.46154,0.46154
1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,2,0.01183,0.00592,0.5,0.0117,0.01183,0.01183,0.01183
1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,4,0.125,0.0625,0.5,0.11111,0.125,0.125,0.125
2,0,0.46154,0.23077,0.5,0.31579,0.46154,0.46154,0.46154
2,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,2,0.98225,0.49405,0.49701,0.49552,0.98225,0.98225,0.98225
2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,4,0.11364,0.05747,0.45455,0.10204,0.11364,0.11364,0.11364
3,0,0.46154,0.47857,0.49206,0.38189,0.46154,0.46154,0.46154
3,1,0.77778,0.5,0.38889,0.4375,0.77778,0.77778,0.77778
3,2,0.98817,0.49408,0.5,0.49702,0.98817,0.98817,0.98817
3,3,0.85714,0.5,0.42857,0.46154,0.85714,0.85714,0.85714
3,4,0.875,0.4375,0.5,0.46667,0.875,0.875,0.875
4,0,0.55128,0.77273,0.51389,0.37997,0.55128,0.55128,0.55128
4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2,0.98817,0.49408,0.5,0.49702,0.98817,0.98817,0.98817
4,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,4,0.875,0.4375,0.5,0.46667,0.875,0.875,0.875
5,0,0.53846,0.26923,0.5,0.35,0.53846,0.53846,0.53846
5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2,0.98817,0.49408,0.5,0.49702,0.98817,0.98817,0.98817
5,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,4,0.875,0.4375,0.5,0.46667,0.875,0.875,0.875
6,0,0.53846,0.26923,0.5,0.35,0.53846,0.53846,0.53846
6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2,0.98817,0.49408,0.5,0.49702,0.98817,0.98817,0.98817
6,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,4,0.875,0.4375,0.5,0.46667,0.875,0.875,0.875
7,0,0.53846,0.26923,0.5,0.35,0.53846,0.53846,0.53846
7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2,0.98817,0.49408,0.5,0.49702,0.98817,0.98817,0.98817
7,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,4,0.875,0.4375,0.5,0.46667,0.875,0.875,0.875
8,0,0.53846,0.26923,0.5,0.35,0.53846,0.53846,0.53846
8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2,0.98817,0.49408,0.5,0.49702,0.98817,0.98817,0.98817
8,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,4,0.875,0.4375,0.5,0.46667,0.875,0.875,0.875
9,0,0.53846,0.26923,0.5,0.35,0.53846,0.53846,0.53846
9,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2,0.98817,0.49408,0.5,0.49702,0.98817,0.98817,0.98817
9,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
