round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.25,0.55366,0.53689,0.24755,0.25,0.25,0.25
1,1,0.16009,0.08004,0.5,0.138,0.16009,0.16009,0.16009
1,2,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
1,3,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
1,4,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
2,0,0.16009,0.08004,0.5,0.138,0.16009,0.16009,0.16009
2,1,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
2,2,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
2,3,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
2,4,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
3,0,0.16009,0.08004,0.5,0.138,0.16009,0.16009,0.16009
3,1,0.16009,0.08004,0.5,0.138,0.16009,0.16009,0.16009
3,2,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
3,3,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
3,4,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
4,0,0.16009,0.08004,0.5,0.138,0.16009,0.16009,0.16009
4,1,0.16009,0.08004,0.5,0.138,0.16009,0.16009,0.16009
4,2,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
4,3,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
4,4,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
5,0,0.16009,0.08004,0.5,0.138,0.16009,0.16009,0.16009
5,1,0.16009,0.08004,0.5,0.138,0.16009,0.16009,0.16009
5,2,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
5,3,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
5,4,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
6,0,0.16228,0.58022,0.50131,0.14086,0.16228,0.16228,0.16228
6,1,0.16009,0.08004,0.5,0.138,0.16009,0.16009,0.16009
6,2,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
6,3,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
6,4,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
7,0,0.16228,0.58022,0.50131,0.14086,0.16228,0.16228,0.16228
7,1,0.16009,0.08004,0.5,0.138,0.16009,0.16009,0.16009
7,2,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
7,3,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
7,4,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
8,0,0.16447,0.5804,0.50261,0.14371,0.16447,0.16447,0.16447
8,1,0.16228,0.58022,0.50131,0.14086,0.16228,0.16228,0.16228
8,2,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
8,3,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
8,4,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
9,0,0.16667,0.58057,0.50392,0.14656,0.16667,0.16667,0.16667
