round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.51282,0.65972,0.54563,0.42824,0.51282,0.51282,0.51282
1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,2,0.98817,0.49408,0.5,0.49702,0.98817,0.98817,0.98817
1,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,4,0.875,0.4375,0.5,0.46667,0.875,0.875,0.875
2,0,0.46154,0.23077,0.5,0.31579,0.46154,0.46154,0.46154
2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,0.98817,0.49408,0.5,0.49702,0.98817,0.98817,0.98817
2,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,4,0.875,0.4375,0.5,0.46667,0.875,0.875,0.875
3,0,0.46154,0.23077,0.5,0.31579,0.46154,0.46154,0.46154
3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,2,0.98817,0.49408,0.5,0.49702,0.98817,0.98817,0.98817
3,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,4,0.875,0.4375,0.5,0.46667,0.875,0.875,0.875
4,0,0.46154,0.23077,0.5,0.31579,0.46154,0.46154,0.46154
4,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,2,0.98817,0.49408,0.5,0.49702,0.98817,0.98817,0.98817
4,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,4,0.875,0.4375,0.5,0.46667,0.875,0.875,0.875
5,0,0.46154,0.23077,0.5,0.31579,0.46154,0.46154,0.46154
5,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,2,0.98817,0.49408,0.5,0.49702,0.98817,0.98817,0.98817
5,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,4,0.875,0.4375,0.5,0.46667,0.875,0.875,0.875
6,0,0.46154,0.23077,0.5,0.31579,0.46154,0.46154,0.46154
6,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,2,0.98817,0.49408,0.5,0.49702,0.98817,0.98817,0.98817
6,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,4,0.875,0.4375,0.5,0.46667,0.875,0.875,0.875
7,0,0.46154,0.23077,0.5,0.31579,0.46154,0.46154,0.46154
7,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,2,0.98817,0.49408,0.5,0.49702,0.98817,0.98817,0.98817
7,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,4,0.875,0.4375,0.5,0.46667,0.875,0.875,0.875
8,0,0.47436,0.73377,0.5119,0.34184,0.47436,0.47436,0.47436
8,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,2,0.98817,0.49408,0.5,0.49702,0.98817,0.98817,0.98817
8,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,4,0.875,0.4375,0.5,0.46667,0.875,0.875,0.875
9,0,0.47436,0.73377,0.5119,0.34184,0.47436,0.47436,0.47436
9,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,2,0.98817,0.49408,0.5,0.49702,0.98817,0.98817,0.98817
9,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,4,0.875,0.4375,0.5,0.46667,0.875,0.875,0.875
10,0,0.47436,0.73377,0.5119,0.34184,0.47436,0.47436,0.47436
10,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,2,0.98817,0.49408,0.5,0.49702,0.98817,0.98817,0.98817
10,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,4,0.875,0.4375,0.5,0.46667,0.875,0.875,0.875
11,0,0.46154,0.48026,0.49802,0.33523,0.46154,0.46154,0.46154
11,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,2,0.98817,0.49408,0.5,0.49702,0.98817,0.98817,0.98817
11,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,4,0.875,0.4375,0.5,0.46667,0.875,0.875,0.875
12,0,0.47436,0.56667,0.50992,0.35976,0.47436,0.47436,0.47436
12,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,2,0.98817,0.49408,0.5,0.49702,0.98817,0.98817,0.98817
12,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,4,0.875,0.4375,0.5,0.46667,0.875,0.875,0.875
13,0,0.46154,0.48026,0.49802,0.33523,0.46154,0.46154,0.46154
13,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,2,0.98817,0.49408,0.5,0.49702,0.98817,0.98817,0.98817
13,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,4,0.875,0.4375,0.5,0.46667,0.875,0.875,0.875
14,0,0.46154,0.48026,0.49802,0.33523,0.46154,0.46154,0.46154
14,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14,2,0.98817,0.49408,0.5,0.49702,0.98817,0.98817,0.98817
14,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14,4,0.875,0.4375,0.5,0.46667,0.875,0.875,0.875
15,0,0.46154,0.48026,0.49802,0.33523,0.46154,0.46154,0.46154
15,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,2,0.98817,0.49408,0.5,0.49702,0.98817,0.98817,0.98817
15,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,4,0.875,0.4375,0.5,0.46667,0.875,0.875,0.875
16,0,0.47436,0.56667,0.50992,0.35976,0.47436,0.47436,0.47436
16,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,2,0.98817,0.49408,0.5,0.49702,0.98817,0.98817,0.98817
16,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,4,0.875,0.4375,0.5,0.46667,0.875,0.875,0.875
17,0,0.47436,0.56667,0.50992,0.35976,0.47436,0.47436,0.47436
17,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
