round,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0.83772,0.41978,0.49869,0.45585,0.83772,0.83772,0.83772
2,0.82675,0.63929,0.57532,0.58842,0.82675,0.82675,0.82675
3,0.83991,0.67222,0.51663,0.49416,0.83991,0.83991,0.83991
4,0.83991,0.67146,0.51109,0.48226,0.83991,0.83991,0.83991
5,0.83772,0.66923,0.56522,0.57699,0.83772,0.83772,0.83772
6,0.83114,0.64302,0.5613,0.57134,0.83114,0.83114,0.83114
7,0.83772,0.67505,0.5874,0.60504,0.83772,0.83772,0.83772
8,0.83772,0.66126,0.54305,0.54388,0.83772,0.83772,0.83772
9,0.83553,0.66598,0.58055,0.59639,0.83553,0.83553,0.83553
10,0.84211,0.75497,0.51239,0.48325,0.84211,0.84211,0.84211
11,0.83333,0.65388,0.56815,0.58054,0.83333,0.83333,0.83333
12,0.84211,0.69745,0.53457,0.52795,0.84211,0.84211,0.84211
13,0.8443,0.79757,0.51924,0.49645,0.8443,0.8443,0.8443
14,0.84211,0.75497,0.51239,0.48325,0.84211,0.84211,0.84211
15,0.83991,0.67694,0.54989,0.55444,0.83991,0.83991,0.83991
16,0.84211,0.69474,0.54011,0.53781,0.84211,0.84211,0.84211
17,0.83991,0.6707,0.50554,0.46973,0.83991,0.83991,0.83991
18,0.83991,0.67299,0.52218,0.50546,0.83991,0.83991,0.83991
19,0.83991,0.67299,0.52218,0.50546,0.83991,0.83991,0.83991
20,0.83553,0.64802,0.54174,0.54224,0.83553,0.83553,0.83553
21,0.82018,0.60971,0.55478,0.56234,0.82018,0.82018,0.82018
22,0.83991,0.67534,0.53881,0.53622,0.83991,0.83991,0.83991
23,0.83991,0.67299,0.52218,0.50546,0.83991,0.83991,0.83991
24,0.83991,0.6707,0.50554,0.46973,0.83991,0.83991,0.83991
25,0.83991,0.67534,0.53881,0.53622,0.83991,0.83991,0.83991
